genus,species,image_path,mask_path,mask_area_frac,n_fish_pixels,status,warning
Acanthurus,Acanthurus albimento,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus albimento.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus albimento_mask.png,0.2608,273453,OK,
Acanthurus,Acanthurus albipectoralis,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus albipectoralis.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus albipectoralis_mask.png,0.1799,188626,OK,
Acanthurus,Acanthurus bariene,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus bariene.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus bariene_mask.png,0.2245,235390,OK,
Acanthurus,Acanthurus blochii,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus blochii.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus blochii_mask.png,0.2612,273912,OK,
Acanthurus,Acanthurus chirurgus,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus chirurgus.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus chirurgus_mask.png,0.2293,240441,OK,
Acanthurus,Acanthurus chronixis,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus chronixis.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus chronixis_mask.png,0.2138,224213,OK,
Acanthurus,Acanthurus dussumieri,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus dussumieri.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus dussumieri_mask.png,0.2047,214598,OK,
Acanthurus,Acanthurus fowleri,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus fowleri.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus fowleri_mask.png,0.1747,183229,OK,
Acanthurus,Acanthurus gahhm,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus gahhm.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus gahhm_mask.png,0.1913,200607,OK,
Acanthurus,Acanthurus grammoptilus,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus grammoptilus.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus grammoptilus_mask.png,0.2172,227755,OK,
Acanthurus,Acanthurus guttatus,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus guttatus.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus guttatus_mask.png,0.2591,271671,OK,
Acanthurus,Acanthurus japonicus,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus japonicus.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus japonicus_mask.png,0.213,223333,OK,
Acanthurus,Acanthurus leucocheilus,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus leucocheilus.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus leucocheilus_mask.png,0.2852,299047,OK,
Acanthurus,Acanthurus leucosternon,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus leucosternon.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus leucosternon_mask.png,0.2551,267506,OK,
Acanthurus,Acanthurus lineatus,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus lineatus.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus lineatus_mask.png,0.2016,211390,OK,
Acanthurus,Acanthurus maculiceps,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus maculiceps.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus maculiceps_mask.png,0.2657,278651,OK,
Acanthurus,Acanthurus mata,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus mata.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus mata_mask.png,0.2002,209888,OK,
Acanthurus,Acanthurus monroviae,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus monroviae.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus monroviae_mask.png,0.2047,214685,OK,
Acanthurus,Acanthurus nigricans,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus nigricans.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus nigricans_mask.png,0.1835,192434,OK,
Acanthurus,Acanthurus nigricauda,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus nigricauda.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus nigricauda_mask.png,0.2449,256757,OK,
Acanthurus,Acanthurus nigrofuscus,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus nigrofuscus.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus nigrofuscus_mask.png,0.1703,178532,OK,
Acanthurus,Acanthurus nubilus,/users/rgupta25/fishy/data/standardized_images/Acanthurus/Acanthurus nubilus.png,/users/rgupta25/fishy/outputs/all_predictions/Acanthurus nubilus_mask.png,0.2328,244137,OK,
