species,genus,has_genetic_data,match_method
Acanthurus achilles,Acanthurus,yes,exact
Acanthurus albimento,Acanthurus,no,
Acanthurus albipectoralis,Acanthurus,no,
Acanthurus bariene,Acanthurus,yes,exact
Acanthurus blochii,Acanthurus,yes,exact
Acanthurus chirurgus,Acanthurus,yes,exact
Acanthurus chronixis,Acanthurus,no,
Acanthurus dussumieri,Acanthurus,yes,exact
Acanthurus fowleri,Acanthurus,no,
Acanthurus gahhm,Acanthurus,no,
Acanthurus grammoptilus,Acanthurus,no,
Acanthurus guttatus,Acanthurus,yes,exact
Acanthurus japonicus,Acanthurus,yes,exact
Acanthurus leucocheilus,Acanthurus,yes,exact
Acanthurus leucosternon,Acanthurus,yes,exact
Acanthurus lineatus,Acanthurus,yes,exact
Acanthurus maculiceps,Acanthurus,no,
Acanthurus mata,Acanthurus,yes,exact
Acanthurus monroviae,Acanthurus,yes,exact
Acanthurus nigricans,Acanthurus,yes,exact
Acanthurus nigricauda,Acanthurus,yes,exact
Acanthurus nigrofuscus,Acanthurus,yes,exact
Acanthurus nubilus,Acanthurus,yes,exact
Acanthurus olivaceus,Acanthurus,yes,exact
Acanthurus pyroferus,Acanthurus,yes,exact
Acanthurus sohal,Acanthurus,no,
Acanthurus tennentii,Acanthurus,yes,exact
Acanthurus tractus,Acanthurus,no,
Acanthurus triostegus,Acanthurus,yes,exact
Acanthurus tristis,Acanthurus,no,
Acanthurus xanthopterus,Acanthurus,yes,exact
Ctenochaetus binotatus,Ctenochaetus,yes,exact
Ctenochaetus cyanocheilus,Ctenochaetus,yes,exact
Ctenochaetus flavicauda,Ctenochaetus,yes,exact
Ctenochaetus hawaiiensis,Ctenochaetus,yes,exact
Ctenochaetus marginatus,Ctenochaetus,no,
Ctenochaetus striatus,Ctenochaetus,yes,exact
Ctenochaetus strigosus,Ctenochaetus,yes,exact
Ctenochaetus tominiensis,Ctenochaetus,yes,exact
Ctenochaetus truncatus,Ctenochaetus,yes,exact
Naso annulatus,Naso,yes,exact
Naso brachycentron,Naso,yes,exact
Naso brevirostris,Naso,yes,exact
Naso caesius,Naso,yes,exact
Naso fageni,Naso,yes,exact
Naso hexacanthus,Naso,yes,exact
Naso lituratus,Naso,yes,exact
Naso maculatus,Naso,yes,exact
Naso minor,Naso,yes,exact
Naso tergus,Naso,no,
Naso tonganus,Naso,yes,exact
Naso tuberosus,Naso,yes,exact
Naso unicornis,Naso,yes,exact
Naso vlamingii,Naso,yes,exact
Paracanthurus hepatus,Paracanthurus,yes,exact
Prionurus chrysurus,Prionurus,no,
Prionurus laticlavius,Prionurus,yes,exact
Prionurus microlepidotus,Prionurus,yes,exact
Zebrasoma desjardinii,Zebrasoma,yes,exact
Zebrasoma flavescens,Zebrasoma,yes,exact
Zebrasoma gemmatum,Zebrasoma,yes,exact
Zebrasoma scopas,Zebrasoma,yes,exact
Zebrasoma veliferum,Zebrasoma,yes,synonym (Zebrasoma_velifer)
Zebrasoma xanthurum,Zebrasoma,no,
