,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_achilles,0.000000,1.684909,4.892638,3.044229,1.764224,3.779753,2.571359,4.545567,0.686688,3.067137,3.093794,2.725519,1.165406,3.292822,1.645768,3.272508,3.256380,2.730657,3.002390,4.585889,2.579167,2.761572,2.403918,3.005656,3.310521,4.041299,4.261014,0.922776,3.352474,3.853093,4.875587,4.382990,4.045054,4.519886,3.855052,2.693986,4.431652,3.970807,4.316686,3.149517,1.492740,1.061749,1.578818,4.433256,1.823532,3.071252,1.933067,2.387055,2.481244
Acanthurus_bariene,1.684909,0.000000,4.169452,1.719298,0.357318,2.790145,1.917013,3.648788,1.673067,2.346511,1.479043,1.849111,1.342711,1.981631,0.659744,1.694737,2.535723,1.873169,1.344989,3.237228,1.459721,1.745881,2.139987,1.601566,1.871480,2.667296,3.694103,1.101100,2.726904,2.651619,3.515040,3.021921,3.321642,3.016439,3.382921,2.695330,4.030936,3.192450,3.799702,2.241838,0.745106,1.665955,1.890237,2.981709,0.769430,1.878677,0.772389,1.683250,1.314141
Acanthurus_blochii,4.892638,4.169452,0.000000,2.691147,4.346406,1.569684,5.993296,0.833685,5.372274,6.310992,3.961030,2.720821,3.749433,3.032175,3.765106,4.681239,2.344097,5.857462,3.871292,2.290774,2.767227,5.595666,2.938150,4.952663,2.988379,2.565887,0.852928,4.389802,1.758644,2.163237,2.199285,2.176659,0.997986,3.620866,1.154904,2.706183,1.145102,1.079082,0.967604,1.939691,4.826880,4.829792,3.421228,2.844629,3.800960,2.419445,4.622294,4.352749,5.269262
Acanthurus_chirurgus,3.044229,1.719298,2.691147,0.000000,1.870795,1.360112,3.362550,2.071694,3.261121,3.644044,1.313795,0.962345,2.097309,1.213188,1.510545,2.123243,1.418504,3.196734,1.313715,1.769114,0.570099,2.922720,1.762449,2.278330,0.561340,1.063276,2.372880,2.316098,1.531682,1.013814,1.914388,1.391121,1.974005,2.188771,2.204267,2.237658,2.815355,1.858271,2.519094,0.982806,2.388083,2.830319,2.226954,1.682581,1.446290,0.561829,2.052298,2.097167,2.618988
Acanthurus_dussumieri,1.764224,0.357318,4.346406,1.870795,0.000000,2.914122,1.745384,3.788867,1.665989,2.180092,1.478880,2.067360,1.501728,1.946536,0.989092,1.524333,2.712296,1.697048,1.306860,3.303591,1.610789,1.599771,2.333312,1.467216,1.947073,2.798776,3.909546,1.270238,2.918840,2.750253,3.596483,3.123607,3.539989,2.958497,3.586047,2.895141,4.187228,3.378517,3.949319,2.408114,0.563936,1.800634,2.119121,2.984476,0.855446,2.008144,0.732970,1.783121,1.134711
Acanthurus_guttatus,3.779753,2.790145,1.569684,1.360112,2.914122,0.000000,4.569890,1.031314,4.151059,4.895669,2.582688,1.777647,2.638201,1.472499,2.538095,3.167166,1.739750,4.426605,2.372223,1.275463,1.426519,4.191327,2.218132,3.543963,1.671405,1.636512,1.561780,3.250791,1.301110,1.136028,1.473697,1.198465,1.140827,2.290869,1.415090,2.306339,1.850089,0.790745,1.500833,0.686728,3.432690,3.787896,2.583017,1.610339,2.497472,0.944528,3.271579,3.286407,3.813308
Acanthurus_japonicus,2.571359,1.917013,5.993296,3.362550,1.745384,4.569890,0.000000,5.387829,2.002518,0.538612,2.373686,3.489573,2.992932,3.463586,2.428903,2.041270,4.121511,0.324211,2.465261,4.739031,3.235954,0.671108,3.735987,1.479899,3.259511,4.046316,5.532264,2.279601,4.494449,4.179508,4.977427,4.524133,5.177253,4.100793,5.241982,4.359130,5.841987,5.056115,5.612298,4.081687,1.392341,2.378309,3.581499,4.298151,2.310345,3.637008,1.423812,2.369406,0.837406
Acanthurus_leucocheilus,4.545567,3.648788,0.833685,2.071694,3.788867,1.031314,5.387829,0.000000,4.953838,5.674305,3.272501,2.214197,3.406267,2.380861,3.312928,4.006645,1.832965,5.229628,3.225871,1.713845,2.199351,4.954868,2.555889,4.264767,2.273778,1.882449,1.128059,3.964820,1.390234,1.385437,1.592676,1.519073,1.079748,2.999996,1.254490,2.502664,1.338401,1.012027,1.017967,1.470402,4.284623,4.419999,3.206143,2.155566,3.233697,1.844802,4.032987,3.773082,4.656639
Acanthurus_leucosternon,0.686688,1.673067,5.372274,3.261121,1.665989,4.151059,2.002518,4.953838,0.000000,2.494044,3.023745,3.037330,1.675280,3.452431,1.842199,3.059528,3.614496,2.207949,2.964149,4.816709,2.854754,2.304372,2.836512,2.710030,3.438380,4.224976,4.769504,1.125148,3.799694,4.106786,5.107531,4.613046,4.517903,4.575937,4.380721,3.231874,4.962913,4.427385,4.821790,3.538077,1.213697,1.151499,2.185399,4.578915,1.932989,3.353479,1.719462,2.360729,2.081081
Acanthurus_lineatus,3.067137,2.346511,6.310992,3.644044,2.180092,4.895669,0.538612,5.674305,2.494044,0.000000,2.533011,3.784017,3.469025,3.771612,2.833813,2.202020,4.391361,0.495380,2.716565,4.978209,3.575433,0.728520,4.076671,1.536639,3.475186,4.218437,5.865490,2.716076,4.817955,4.406986,5.180627,4.741445,5.516056,4.298926,5.600127,4.727990,6.188928,5.406261,5.953312,4.430922,1.878729,2.763372,4.036506,4.502586,2.675678,3.964928,1.768629,2.552367,1.162767
Acanthurus_mata,3.093794,1.479043,3.961030,1.313795,1.478880,2.582688,2.373686,3.272501,3.023745,2.533011,0.000000,1.830504,2.552752,1.687032,1.680196,1.114519,2.365159,2.132473,0.748739,2.545839,1.533290,1.816908,2.535934,1.040415,1.005885,1.719876,3.662657,2.320395,2.730192,1.964007,2.677076,2.228282,3.278018,2.267490,3.494007,3.180052,4.059406,3.157980,3.769383,2.261382,1.898341,2.745720,2.933751,2.130129,1.430070,1.730047,1.379350,1.748995,1.636755
Acanthurus_monroviae,2.725519,1.849111,2.720821,0.962345,2.067360,1.777647,3.489573,2.214197,3.037330,3.784017,1.830504,0.000000,1.825578,2.005561,1.376229,2.775679,0.753250,3.373423,2.047475,2.561532,0.831401,3.090825,0.916522,2.594977,1.261647,1.557892,2.148992,1.943007,1.101184,1.398706,2.608868,2.101140,1.963226,3.137396,1.940784,1.463383,2.562565,2.015488,2.359345,1.197372,2.444553,2.321578,1.741376,2.557918,1.340092,1.246359,2.072185,1.657901,2.895066
Acanthurus_nigricans,1.165406,1.342711,3.749433,2.097309,1.501728,2.638201,2.992932,3.406267,1.675280,3.469025,2.552752,1.825578,0.000000,2.363841,1.073905,2.913523,2.317243,3.034972,2.391131,3.540716,1.575933,2.951283,1.563012,2.852687,2.455561,3.121116,3.164183,1.006849,2.282019,2.837563,3.828488,3.354087,2.927362,3.681903,2.748171,1.823525,3.336887,2.823532,3.193618,2.016792,1.628973,1.533846,0.724750,3.470622,1.253532,2.017762,1.872826,2.192957,2.574560
Acanthurus_nigricauda,3.292822,1.981631,3.032175,1.213188,1.946536,1.472499,3.463586,2.380861,3.452431,3.771612,1.687032,2.005561,2.363841,0.000000,2.102237,1.878292,2.309272,3.301167,1.242083,1.559651,1.235591,3.114586,2.524390,2.464105,1.233191,1.845611,2.957801,2.789656,2.250879,1.547317,1.939887,1.616216,2.521921,1.425569,2.716427,2.904240,3.138575,2.192873,2.811589,1.447120,2.481870,3.378985,2.710193,1.237359,1.860919,0.950862,2.399522,2.846301,2.684150
