,Acanthurus Acanthurus bariene,Acanthurus Acanthurus blochii,Acanthurus Acanthurus chirurgus,Acanthurus Acanthurus dussumieri,Acanthurus Acanthurus guttatus,Acanthurus Acanthurus japonicus,Acanthurus Acanthurus leucocheilus,Acanthurus Acanthurus leucosternon,Acanthurus Acanthurus lineatus,Acanthurus Acanthurus mata,Acanthurus Acanthurus monroviae,Acanthurus Acanthurus nigricans,Acanthurus Acanthurus nigricauda,Acanthurus Acanthurus nigrofuscus,Acanthurus Acanthurus nubilus,Acanthurus Acanthurus olivaceus,Acanthurus Acanthurus pyroferus,Acanthurus Acanthurus tennentii,Acanthurus Acanthurus_achilles,Acanthurus Acanthurus_triostegus,Acanthurus Acanthurus_xanthopterus,Ctenochaetus Ctenochaetus binotatus,Ctenochaetus Ctenochaetus cyanocheilus,Ctenochaetus Ctenochaetus flavicauda,Ctenochaetus Ctenochaetus hawaiiensis,Ctenochaetus Ctenochaetus striatus,Ctenochaetus Ctenochaetus strigosus,Ctenochaetus Ctenochaetus truncatus,Naso Naso annulatus,Naso Naso brachycentron,Naso Naso brevirostris,Naso Naso caesius,Naso Naso fageni,Naso Naso hexacanthus,Naso Naso lituratus,Naso Naso maculatus,Naso Naso minor,Naso Naso tonganus,Naso Naso tuberosus,Naso Naso unicornis,Naso Naso vlamingii,Paracanthurus Paracanthurus_hepatus,Prionurus Prionurus laticlavius,Prionurus Prionurus microlepidotus,Zebrasoma Zebrasoma desjardinii,Zebrasoma Zebrasoma flavescens,Zebrasoma Zebrasoma gemmatum,Zebrasoma Zebrasoma scopas
Acanthurus Acanthurus bariene,0.0,13.254377999999999,25.369695999999998,3.71142,33.113137,33.113137,18.040788,33.113137,33.113138,13.254377999999999,25.369695999999998,33.113137,18.040788,33.113138,27.765277,22.463695,27.765277,22.463695,33.113137,36.1459,13.254377999999999,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765277,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus blochii,13.254377999999999,0.0,25.369695999999998,13.254377999999999,33.113137,33.113137,18.040788,33.113137,33.113138,8.116408,25.369695999999998,33.113137,18.040788,33.113138,27.765277,22.463695,27.765277,22.463695,33.113137,36.1459,10.33225,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765277,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus chirurgus,25.369695999999998,25.369695999999998,0.0,25.369695999999998,33.113137,33.113137,25.369695999999998,33.113137,33.113138,25.369695999999998,21.409602,33.113137,25.369695999999998,33.113138,27.765276999999998,25.369697,27.765276999999998,25.369697,33.113137,36.1459,25.369695999999998,27.765276999999998,27.765276,27.765276999999998,27.765276999999998,27.765276999999998,27.765276999999998,27.765276999999998,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus dussumieri,3.71142,13.254377999999999,25.369695999999998,0.0,33.113137,33.113137,18.040788,33.113137,33.113138,13.254377999999999,25.369695999999998,33.113137,18.040788,33.113138,27.765277,22.463695,27.765277,22.463695,33.113137,36.1459,13.254377999999999,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765277,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus guttatus,33.113137,33.113137,33.113137,33.113137,0.0,29.083268000000004,33.113137,29.083268000000004,31.611989,33.113137,33.113137,29.083268000000004,33.113137,31.611989,33.113138,33.113138,33.113138,33.113138,29.083268000000004,36.145899,33.113137,33.113138,33.113137,33.113138,33.113138,33.113138,33.113138,33.113138,115.352,115.351999,115.352,115.352,115.351999,115.352,115.352,115.352,115.352,115.351999,115.351999,115.352,115.352,77.814794,88.16763599999999,88.16763499999999,77.81479300000001,77.814793,77.814794,77.814793
Acanthurus Acanthurus japonicus,33.113137,33.113137,33.113137,33.113137,29.083268000000004,0.0,33.113137,8.400332,31.611989,33.113137,33.113137,4.032128,33.113137,31.611989,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,6.770574,36.145899,33.113137,33.113138000000006,33.113137,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,115.352,115.351999,115.352,115.352,115.351999,115.352,115.352,115.352,115.352,115.351999,115.351999,115.352,115.352,77.814794,88.16763599999999,88.16763499999999,77.81479300000001,77.81479300000001,77.814794,77.81479300000001
Acanthurus Acanthurus leucocheilus,18.040788,18.040788,25.369695999999998,18.040788,33.113137,33.113137,0.0,33.113137,33.113138,18.040788,25.369695999999998,33.113137,13.962134,33.113138,27.765277,22.463695,27.765277,22.463695,33.113137,36.1459,18.040788,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765277,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus leucosternon,33.113137,33.113137,33.113137,33.113137,29.083268000000004,8.400332,33.113137,0.0,31.611989,33.113137,33.113137,8.400332,33.113137,31.611989,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,8.400332,36.145899,33.113137,33.113138000000006,33.113137,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,115.352,115.351999,115.352,115.352,115.351999,115.352,115.352,115.352,115.352,115.351999,115.351999,115.352,115.352,77.814794,88.16763599999999,88.16763499999999,77.81479300000001,77.81479300000001,77.814794,77.81479300000001
Acanthurus Acanthurus lineatus,33.113138,33.113138,33.113138,33.113138,31.611989,31.611989,33.113138,31.611989,0.0,33.113138,33.113138,31.611989,33.113138,27.381092,33.113139000000004,33.113139000000004,33.113139000000004,33.113139000000004,31.611989,36.1459,33.113138,33.113139000000004,33.113138,33.113139000000004,33.113139000000004,33.113139000000004,33.113139000000004,33.113139000000004,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus mata,13.254377999999999,8.116408,25.369695999999998,13.254377999999999,33.113137,33.113137,18.040788,33.113137,33.113138,0.0,25.369695999999998,33.113137,18.040788,33.113138,27.765277,22.463695,27.765277,22.463695,33.113137,36.1459,10.33225,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765277,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus monroviae,25.369695999999998,25.369695999999998,21.409602,25.369695999999998,33.113137,33.113137,25.369695999999998,33.113137,33.113138,25.369695999999998,0.0,33.113137,25.369695999999998,33.113138,27.765276999999998,25.369697,27.765276999999998,25.369697,33.113137,36.1459,25.369695999999998,27.765276999999998,27.765276,27.765276999999998,27.765276999999998,27.765276999999998,27.765276999999998,27.765276999999998,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus nigricans,33.113137,33.113137,33.113137,33.113137,29.083268000000004,4.032128,33.113137,8.400332,31.611989,33.113137,33.113137,0.0,33.113137,31.611989,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,6.770574,36.145899,33.113137,33.113138000000006,33.113137,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,115.352,115.351999,115.352,115.352,115.351999,115.352,115.352,115.352,115.352,115.351999,115.351999,115.352,115.352,77.814794,88.16763599999999,88.16763499999999,77.81479300000001,77.81479300000001,77.814794,77.81479300000001
Acanthurus Acanthurus nigricauda,18.040788,18.040788,25.369695999999998,18.040788,33.113137,33.113137,13.962134,33.113137,33.113138,18.040788,25.369695999999998,33.113137,0.0,33.113138,27.765277,22.463695,27.765277,22.463695,33.113137,36.1459,18.040788,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765277,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus nigrofuscus,33.113138,33.113138,33.113138,33.113138,31.611989,31.611989,33.113138,31.611989,27.381092,33.113138,33.113138,31.611989,33.113138,0.0,33.113139000000004,33.113139000000004,33.113139000000004,33.113139000000004,31.611989,36.1459,33.113138,33.113139000000004,33.113138,33.113139000000004,33.113139000000004,33.113139000000004,33.113139000000004,33.113139000000004,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus nubilus,27.765277,27.765277,27.765276999999998,27.765277,33.113138,33.113138000000006,27.765277,33.113138000000006,33.113139000000004,27.765277,27.765276999999998,33.113138000000006,27.765277,33.113139000000004,0.0,27.765278000000002,14.02958,27.765278000000002,33.113138000000006,36.145901,27.765277,16.491504,16.491503,16.491504,19.279806,19.279806,16.491504,16.491504,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.16763799999998,88.16763699999998,77.814795,77.814795,77.814796,77.814795
Acanthurus Acanthurus olivaceus,22.463695,22.463695,25.369697,22.463695,33.113138,33.113138000000006,22.463695,33.113138000000006,33.113139000000004,22.463695,25.369697,33.113138000000006,22.463695,33.113139000000004,27.765278000000002,0.0,27.765278000000002,6.124456,33.113138000000006,36.145901,22.463695,27.765278000000002,27.765276999999998,27.765278000000002,27.765278000000002,27.765278000000002,27.765278000000002,27.765278000000002,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.16763799999998,88.16763699999998,77.814795,77.814795,77.814796,77.814795
Acanthurus Acanthurus pyroferus,27.765277,27.765277,27.765276999999998,27.765277,33.113138,33.113138000000006,27.765277,33.113138000000006,33.113139000000004,27.765277,27.765276999999998,33.113138000000006,27.765277,33.113139000000004,14.02958,27.765278000000002,0.0,27.765278000000002,33.113138000000006,36.145901,27.765277,16.491504,16.491503,16.491504,19.279806,19.279806,16.491504,16.491504,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.16763799999998,88.16763699999998,77.814795,77.814795,77.814796,77.814795
Acanthurus Acanthurus tennentii,22.463695,22.463695,25.369697,22.463695,33.113138,33.113138000000006,22.463695,33.113138000000006,33.113139000000004,22.463695,25.369697,33.113138000000006,22.463695,33.113139000000004,27.765278000000002,6.124456,27.765278000000002,0.0,33.113138000000006,36.145901,22.463695,27.765278000000002,27.765276999999998,27.765278000000002,27.765278000000002,27.765278000000002,27.765278000000002,27.765278000000002,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.16763799999998,88.16763699999998,77.814795,77.814795,77.814796,77.814795
Acanthurus Acanthurus_achilles,33.113137,33.113137,33.113137,33.113137,29.083268000000004,6.770574,33.113137,8.400332,31.611989,33.113137,33.113137,6.770574,33.113137,31.611989,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,0.0,36.145899,33.113137,33.113138000000006,33.113137,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,33.113138000000006,115.352,115.351999,115.352,115.352,115.351999,115.352,115.352,115.352,115.352,115.351999,115.351999,115.352,115.352,77.814794,88.16763599999999,88.16763499999999,77.81479300000001,77.81479300000001,77.814794,77.81479300000001
Acanthurus Acanthurus_triostegus,36.1459,36.1459,36.1459,36.1459,36.145899,36.145899,36.1459,36.145899,36.1459,36.1459,36.1459,36.145899,36.1459,36.1459,36.145901,36.145901,36.145901,36.145901,36.145899,0.0,36.1459,36.145901,36.1459,36.145901,36.145901,36.145901,36.145901,36.145901,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Acanthurus Acanthurus_xanthopterus,13.254377999999999,10.33225,25.369695999999998,13.254377999999999,33.113137,33.113137,18.040788,33.113137,33.113138,10.33225,25.369695999999998,33.113137,18.040788,33.113138,27.765277,22.463695,27.765277,22.463695,33.113137,36.1459,0.0,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765277,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Ctenochaetus Ctenochaetus binotatus,27.765277,27.765277,27.765276999999998,27.765277,33.113138,33.113138000000006,27.765277,33.113138000000006,33.113139000000004,27.765277,27.765276999999998,33.113138000000006,27.765277,33.113139000000004,16.491504,27.765278000000002,16.491504,27.765278000000002,33.113138000000006,36.145901,27.765277,0.0,14.719857000000001,7.559662,19.279806,19.279806,7.559661999999999,7.559662,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.16763799999998,88.16763699999998,77.814795,77.814795,77.814796,77.814795
Ctenochaetus Ctenochaetus cyanocheilus,27.765276,27.765276,27.765276,27.765276,33.113137,33.113137,27.765276,33.113137,33.113138,27.765276,27.765276,33.113137,27.765276,33.113138,16.491503,27.765276999999998,16.491503,27.765276999999998,33.113137,36.1459,27.765276,14.719857000000001,0.0,14.719857000000001,19.279805,19.279805,14.719857,14.719857000000001,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,77.814795,88.16763699999998,88.16763599999999,77.814794,77.814794,77.814795,77.814794
Ctenochaetus Ctenochaetus flavicauda,27.765277,27.765277,27.765276999999998,27.765277,33.113138,33.113138000000006,27.765277,33.113138000000006,33.113139000000004,27.765277,27.765276999999998,33.113138000000006,27.765277,33.113139000000004,16.491504,27.765278000000002,16.491504,27.765278000000002,33.113138000000006,36.145901,27.765277,7.559662,14.719857000000001,0.0,19.279806,19.279806,2.7402360000000003,0.011474,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.16763799999998,88.16763699999998,77.814795,77.814795,77.814796,77.814795
