,Acanthurus Acanthurus bariene,Acanthurus Acanthurus blochii,Acanthurus Acanthurus chirurgus,Acanthurus Acanthurus dussumieri,Acanthurus Acanthurus guttatus,Acanthurus Acanthurus japonicus,Acanthurus Acanthurus leucocheilus,Acanthurus Acanthurus leucosternon,Acanthurus Acanthurus lineatus,Acanthurus Acanthurus mata,Acanthurus Acanthurus monroviae,Acanthurus Acanthurus nigricans,Acanthurus Acanthurus nigricauda,Acanthurus Acanthurus nigrofuscus,Acanthurus Acanthurus nubilus,Acanthurus Acanthurus olivaceus,Acanthurus Acanthurus pyroferus,Acanthurus Acanthurus tennentii,Acanthurus Acanthurus_achilles,Acanthurus Acanthurus_triostegus,Acanthurus Acanthurus_xanthopterus,Ctenochaetus Ctenochaetus binotatus,Ctenochaetus Ctenochaetus cyanocheilus,Ctenochaetus Ctenochaetus flavicauda,Ctenochaetus Ctenochaetus hawaiiensis,Ctenochaetus Ctenochaetus striatus,Ctenochaetus Ctenochaetus strigosus,Ctenochaetus Ctenochaetus truncatus,Naso Naso annulatus,Naso Naso brachycentron,Naso Naso brevirostris,Naso Naso caesius,Naso Naso fageni,Naso Naso hexacanthus,Naso Naso lituratus,Naso Naso maculatus,Naso Naso minor,Naso Naso tonganus,Naso Naso tuberosus,Naso Naso unicornis,Naso Naso vlamingii,Paracanthurus Paracanthurus_hepatus,Prionurus Prionurus laticlavius,Prionurus Prionurus microlepidotus,Zebrasoma Zebrasoma desjardinii,Zebrasoma Zebrasoma flavescens,Zebrasoma Zebrasoma gemmatum,Zebrasoma Zebrasoma scopas
Acanthurus Acanthurus bariene,0.0,10.756755061852518,11.55546912684372,8.642202646647824,9.958348438499515,11.810319904509091,9.678645729615413,13.214793022827106,9.317482979028041,10.057817653945987,10.554985311641715,14.919409952509577,11.204175861259463,11.955044822985228,11.019300912800466,10.637469327723908,12.85099925231702,11.10103641516194,15.401695208320891,12.362940205970856,10.563710686707037,9.403302803876814,11.45597458916201,13.052233822581881,11.341987085452667,9.533393589962932,16.178583138445454,10.665462022139549,13.614607240645471,10.937311616782871,9.720725890176043,12.588863035719532,12.278199582850027,13.219550984556463,13.565081406099948,11.503171263611307,10.776102287351206,12.811227474704642,11.7851734318396,12.805209459043759,10.863260068324648,15.187415212150729,12.495287599237518,12.428329301652685,8.757896829539593,16.815405241264113,21.530084426863624,11.333696348491985
Acanthurus Acanthurus blochii,10.756755061852518,0.0,5.720022563098018,9.601538917528675,13.545112614907506,15.081342790283985,12.522070997807537,11.14651659217322,12.211332916034124,8.885554120338599,11.18007452338016,17.371301729207122,11.960457579047883,12.55474960856112,8.345731385486772,12.141630969749663,13.810866782368358,8.961417478419158,17.26410596400004,12.155754255960897,10.835819988908641,12.754555962756854,13.529308797563614,15.193839637645674,13.479477890425418,12.964776030245881,16.255546194517738,15.086910671807386,9.108339212631375,10.454400139177885,8.53082309895438,13.886164651145002,12.440232414491012,13.19545471756657,15.053489435387998,12.205697737426075,9.335843638872717,12.22216232862322,7.5514153611109425,11.997514126377851,8.658059775001796,15.778168502944707,9.251983932980329,11.78141200932724,9.618585170157944,18.573332446374838,22.264478540518525,11.391234035852607
Acanthurus Acanthurus chirurgus,11.55546912684372,5.720022563098018,0.0,8.978331412686417,14.982888604785503,15.38906659859263,13.80023576186508,12.345083479379378,12.65424517157853,9.793071257123184,12.710745350976797,18.167178444944874,13.680058966010549,13.056216238170997,10.697828769480704,13.509147468651351,13.093436079421203,9.66715140676356,17.731029876815985,11.428640179954758,10.275494762139225,13.280615181250138,15.24880349551534,15.234884758815312,15.195429234815151,14.284362559054959,16.540979768258754,15.625045381547295,11.326409937506853,11.992237730962621,10.584550201502134,14.799772774344003,12.479201728865998,13.947104297837553,14.921771411721823,13.66362638162964,9.634140671108499,12.743167050149461,10.533274415857194,12.922831274914325,10.491231165130191,16.13882191753732,10.293981248333344,12.654022364023056,11.354871229618334,18.2489377671693,22.136165520667703,12.639774874310746
Acanthurus Acanthurus dussumieri,8.642202646647824,9.601538917528675,8.978331412686417,0.0,12.23479715578157,12.482464584370476,12.438615758163172,11.27706026347994,9.904715784522947,8.972246360790226,11.984651923290434,17.028300228444557,11.89135086590274,12.198662247036122,10.538972232971378,12.83969304593169,10.440122289819962,11.452806605355152,15.019936392110894,11.654469972736235,8.476088849579352,11.480511794967251,13.445270713807624,13.825415528379704,12.890599446670407,13.15273941383705,15.765143802880583,12.922521190911576,11.507109747086,10.78692316408346,8.91288842486656,13.046184362308075,11.495649018079387,12.16008884085016,12.802810882363584,11.58955874247712,11.235582433168478,11.868398489506681,10.60854700310768,11.875647700985638,10.430088831731245,15.125575222424445,9.587670630149669,11.58516143864819,8.579865135077764,15.628707923126116,22.0472097887693,12.595914381201029
Acanthurus Acanthurus guttatus,9.958348438499515,13.545112614907506,14.982888604785503,12.23479715578157,0.0,10.417973327292797,8.467111353616957,15.792105227391728,10.064591849180443,13.242273779027345,10.999427601002704,13.213272358407998,8.974792334034044,11.089492357120227,14.05581634145988,10.574625745446262,15.186427279210541,14.651373396214057,14.31616667102197,11.489528192295642,11.863892725723911,8.47425956320765,9.333605520000509,11.905463277858455,11.69611628334814,11.185979524929646,18.073151282167164,10.892858716783397,13.714680894816084,10.992324260588909,12.323369967508915,11.527923795167535,12.820820937777922,12.339174931334046,15.750670192942682,13.324789451611561,13.113378282770826,12.80251613154365,13.263014134363411,12.016948611190733,14.783973545156414,16.215041113486926,12.36156395541691,13.903719888211675,9.893821526641252,17.764921291022674,21.507397997961974,16.219738021243952
Acanthurus Acanthurus japonicus,11.810319904509091,15.081342790283985,15.38906659859263,12.482464584370476,10.417973327292797,0.0,10.686899367574433,14.980470582644607,11.914359859902486,13.40355862912253,10.905385145172419,13.333217543094797,12.585516899487228,13.399699729445894,15.20551233617213,12.587566968720111,16.388210070731915,14.260938851287818,13.052270182520374,11.756559759814861,12.07689673297373,10.00364150925228,12.731753903536234,10.345991020780879,14.827720867425246,12.079564513120264,18.739413020820162,12.864593992886668,15.721847031187147,11.870040898160173,14.006306581643141,12.850041813087236,13.109019936465284,12.78381849469131,14.42997241630036,16.74772518142871,11.761497761972015,12.919154692526224,14.151632795258843,11.661101051656424,14.528636581182042,16.057327201194784,12.782841921889691,13.52626118251446,10.855384794607891,17.63942313281383,21.841689718567014,15.996133668785363
Acanthurus Acanthurus leucocheilus,9.678645729615413,12.522070997807537,13.80023576186508,12.438615758163172,8.467111353616957,10.686899367574433,0.0,14.133198081646675,11.15991800306608,12.888098697937126,8.011846683569845,12.801384841600703,8.729312068622836,10.512058155079867,14.64132383816617,7.979670834706287,15.529062302725817,12.859132382789978,14.280732300788527,10.723508378002505,10.636806537763501,9.699975337175086,10.7899107709645,12.307254575680124,14.149561796206655,10.117598973838248,18.760336001460374,11.869115914000119,12.885412967789215,9.367048311088297,12.487813780488407,11.719746336150811,11.118120850784909,9.318964256895157,14.21752540559087,13.737679135841608,10.164929916001919,10.694781239833722,11.884461496241498,9.342866156620707,13.940691241272974,14.314836646632616,10.449261013322168,11.92583177156168,10.179233593086016,17.239375974811143,23.09859776753541,16.290297572784574
Acanthurus Acanthurus leucosternon,13.214793022827106,11.14651659217322,12.345083479379378,11.27706026347994,15.792105227391728,14.980470582644607,14.133198081646675,0.0,13.401783222735647,12.40953293759882,11.078329398632492,16.996390673252648,15.339135187226033,15.129331992743314,12.185838509824139,13.599273402386483,13.649871889088686,11.86036951307906,14.11798501545411,14.41265102467495,11.513988503284708,14.885470364612706,15.384590851800697,14.57230422382467,15.84693442936999,12.783422260870653,20.425191886667392,16.589785522457156,11.847802830615976,12.851251540244668,11.873098208445912,14.140445547029902,14.12696363730018,12.709315590200367,11.722409887589903,16.755704750911942,11.664108785236817,13.37064734063695,12.738214511174844,12.986053394081058,9.002336508947193,11.719043004794745,11.46181802280863,11.614858402613471,9.950817982139265,16.45236364721398,23.223040450552258,16.551642364658903
Acanthurus Acanthurus lineatus,9.317482979028041,12.211332916034124,12.65424517157853,9.904715784522947,10.064591849180443,11.914359859902486,11.15991800306608,13.401783222735647,0.0,8.693415452188084,11.409639005440049,15.691839752327787,13.014344088597847,12.219429800751639,11.79952571725527,13.065448973810607,12.828635281735846,13.754647982127972,14.27617946277642,12.309270816422664,10.591424439880313,10.980041993995883,13.557468724836149,11.886482524425977,12.455241341584571,12.221252291723049,14.4824889538729,12.668319984051424,12.98770702704384,11.662585803495423,11.88404422125338,11.536041674738485,13.05999617519381,14.228049468270752,14.178310490847716,13.602831854251525,13.469083765941775,12.130800595668083,14.285865935184576,12.182924091410007,11.698439994296457,14.048904013690958,13.61142152964469,12.914857782374158,9.436356420600317,16.42429102214539,20.63563820661204,14.667451958125552
Acanthurus Acanthurus mata,10.057817653945987,8.885554120338599,9.793071257123184,8.972246360790226,13.242273779027345,13.40355862912253,12.888098697937126,12.40953293759882,8.693415452188084,0.0,12.971440625624771,16.330675037438503,13.053158821408063,12.807886617068146,8.536843013628008,13.522630985720774,12.715819988056168,12.047338699781404,15.581567326774605,12.366886558701152,11.065381929479765,11.86350755524121,15.106078449572223,13.487321171265723,12.52193839047321,12.566367753088494,13.554389167028878,14.476086175193345,10.212048777793788,10.946342251172343,9.13237542258836,12.006891788288526,12.153120237885224,14.060682169438222,13.9495719793442,12.213428834727758,12.525180427240901,11.326697775498232,10.932628608564224,11.152228980962745,8.877883779125762,15.229517159265434,12.204353420133405,11.766069654873403,8.748373521593754,17.745940169373466,20.05359900188638,12.472203673209123
