,Acanthurus Acanthurus albimento,Acanthurus Acanthurus albipectoralis,Acanthurus Acanthurus bariene,Acanthurus Acanthurus blochii,Acanthurus Acanthurus chirurgus,Acanthurus Acanthurus chronixis,Acanthurus Acanthurus dussumieri,Acanthurus Acanthurus fowleri,Acanthurus Acanthurus gahhm,Acanthurus Acanthurus grammoptilus,Acanthurus Acanthurus guttatus,Acanthurus Acanthurus japonicus,Acanthurus Acanthurus leucocheilus,Acanthurus Acanthurus leucosternon,Acanthurus Acanthurus lineatus,Acanthurus Acanthurus maculiceps,Acanthurus Acanthurus mata,Acanthurus Acanthurus monroviae,Acanthurus Acanthurus nigricans,Acanthurus Acanthurus nigricauda,Acanthurus Acanthurus nigrofuscus,Acanthurus Acanthurus nubilus,Acanthurus Acanthurus olivaceus,Acanthurus Acanthurus pyroferus,Acanthurus Acanthurus sohal,Acanthurus Acanthurus tennentii,Acanthurus Acanthurus tractus,Acanthurus Acanthurus tristis,Acanthurus Acanthurus_achilles,Acanthurus Acanthurus_triostegus,Acanthurus Acanthurus_xanthopterus,Ctenochaetus Ctenochaetus binotatus,Ctenochaetus Ctenochaetus cyanocheilus,Ctenochaetus Ctenochaetus flavicauda,Ctenochaetus Ctenochaetus hawaiiensis,Ctenochaetus Ctenochaetus marginatus,Ctenochaetus Ctenochaetus striatus,Ctenochaetus Ctenochaetus strigosus,Ctenochaetus Ctenochaetus truncatus,Naso Naso annulatus,Naso Naso brachycentron,Naso Naso brevirostris,Naso Naso caesius,Naso Naso fageni,Naso Naso hexacanthus,Naso Naso lituratus,Naso Naso maculatus,Naso Naso minor,Naso Naso tergus,Naso Naso tonganus,Naso Naso tuberosus,Naso Naso unicornis,Naso Naso vlamingii,Paracanthurus Paracanthurus_hepatus,Prionurus Prionurus chrysurus,Prionurus Prionurus laticlavius,Prionurus Prionurus microlepidotus,Zebrasoma Zebrasoma desjardinii,Zebrasoma Zebrasoma flavescens,Zebrasoma Zebrasoma gemmatum,Zebrasoma Zebrasoma scopas,Zebrasoma Zebrasoma veliferum,Zebrasoma Zebrasoma xanthurum
Acanthurus Acanthurus albimento,0.0,6.726845290656742,6.628498245556081,4.296669078431838,5.154599611294306,10.909316369875736,5.431203576417873,7.75769993311842,9.754062074302706,5.366354090243537,5.647215554913701,9.501190675782828,4.999867147855876,7.8660726884550805,6.5843700859295256,8.167236197297877,5.803993321006323,6.338877206676837,7.164832743295006,5.672319224621539,7.2637526076270555,8.419455777136847,5.870042049090972,10.322955170500158,8.024776085226488,6.1418274402815545,9.296342796655415,8.36882856305936,10.549205977939803,4.832890094312579,5.367753908094597,7.623745067693998,8.907130078419083,10.355087686220466,8.437449186375233,10.672551303951918,7.81236393126049,9.33934443711777,9.799378915416565,6.225835163098023,6.952910520655697,5.997018417355792,8.734341791341297,8.092651139706634,6.23425962025154,8.840526691571974,7.454994698085332,6.546275499086439,7.188833706203351,6.2934369223833695,5.8591203001738075,5.7585873365821465,8.4006868989234,8.829270687039923,8.034192587240565,5.145109556015246,8.940110160155484,5.149454743117863,11.728333414223355,13.14542077609763,8.817203210697311,5.559290158190617,11.131984185601072
Acanthurus Acanthurus albipectoralis,6.726845290656742,0.0,6.096133926991733,5.491279276615398,7.289003543337373,10.363304184457068,6.3484410012588075,7.402972962889287,10.717340871991345,6.749343354293249,5.082943278858304,10.069429302272463,5.560986035762555,10.345013183994515,8.085767113152727,7.0006408562809375,7.123995073180021,7.317383966560194,7.621380141824746,5.169549178083142,6.569130759721457,8.219807890492445,4.087680605306775,10.334966836280485,8.312928354509037,6.610359823175172,9.521227164645383,6.914598372178937,11.264065691018692,7.611146426342357,7.245610821978833,6.989814964014537,6.452730478356218,11.863069623098017,5.642325288872135,10.404418682116921,9.038813942939464,10.1748467526286,9.472653843194152,7.243590448573021,7.722329558653819,6.097478733621444,10.516685653410116,9.344034518212862,5.79461676446262,9.843138860567558,6.17166235888424,7.923958373763197,7.928028250995293,8.235337427745065,5.214120411918635,8.087923103599186,9.455923652000942,11.48856182771163,6.364824666738947,5.822929410851992,9.906429262166833,6.6221268816145304,12.982870008431535,13.084919076183514,7.193858305705647,4.089197629538922,12.226846222925136
Acanthurus Acanthurus bariene,6.628498245556081,6.096133926991733,0.0,5.435090308725816,5.7772717450530715,5.806578286045493,3.3430665457104354,3.7613526192795783,8.635494817774488,6.413739264679133,4.0646512335956,7.486988399685544,5.720673334533441,7.041042547167236,3.7765098150739576,7.001056305314461,4.786025729217058,5.647686583028758,6.994186611907528,7.058599834895835,7.432563758957459,6.936203366645882,5.986773939023606,8.412428699296706,7.667742697043919,5.097505457010532,8.235820537641885,4.62580137456237,9.207241353972414,7.259489690981331,5.140916334405816,5.220662975687654,6.6332911157670384,9.280187684828876,5.861562708846963,7.91934427250189,7.190951375134447,8.606444176540979,5.988719690045384,7.420087689700741,7.24453263999432,5.6641805469977555,8.23094101224768,9.03339636180167,6.256531883622142,7.303092320180743,8.527890028953415,6.50781741859857,7.802666803309344,7.894346804481582,7.054448684450949,7.909188828481832,6.701604614451207,9.392667581738243,5.651691857711048,6.45077687870394,8.083955701075146,3.8322949928052696,10.357713945029872,11.916954203297893,4.450422383781168,6.268048002998831,9.719522963279593
Acanthurus Acanthurus blochii,4.296669078431838,5.491279276615398,5.435090308725816,0.0,3.8515892450449516,9.921606623867056,4.737614149447596,6.2630737507479814,8.25148913460034,4.982171214814157,5.273629698719442,8.858304656003304,5.045517992762365,7.314524839856814,5.853163537174064,6.2318519318214936,4.363820684157347,4.8770928827686735,7.769920165859025,5.791586348347448,6.524593481837845,6.452664456483043,4.650185628715991,9.579197500352251,7.301154771464563,5.0982788686063385,8.282091641628126,6.936924799711706,10.341041167421889,5.043422613936248,4.424127605236404,6.504488029980848,7.350867814412298,9.99270652737954,6.408339334497529,9.198784989516154,6.795790417290442,8.727496310065767,8.982363339677404,4.630849153144952,5.680540845404759,3.692873875722151,8.098560782114355,7.892373904745076,5.97716006239029,8.10129498870659,6.673739884450164,5.007943165128101,7.099652994283902,6.8223793702125795,4.515509821629447,6.159414961581052,6.553108175794495,8.911183309217577,6.784089246623755,4.287248146667862,8.084043007985994,3.469995824723049,11.604649567934363,12.265165341278648,7.476386020899856,4.711813522864346,10.677409444818691
Acanthurus Acanthurus chirurgus,5.154599611294306,7.289003543337373,5.7772717450530715,3.8515892450449516,0.0,9.314017570415812,4.0758991006640715,5.646756166727099,8.664057460034414,3.970218283014235,5.317826833910511,7.6945861361858,5.2841731626266695,8.122032466504162,5.017013282890044,7.912940384497848,4.49545781696721,5.811632546236786,7.740721088507276,7.0313808675289815,7.951979303997959,7.7720692742921,6.636673073548956,9.112828346525014,7.203682345132895,3.9132103605293693,8.13351321095442,5.989324876067091,10.438256697494795,4.303260949365384,3.413645478582415,5.817967816666315,8.501697846751657,9.187643953964718,7.976767388827367,10.042201724708082,7.782120412149945,8.039257918237158,8.751316372142325,6.179501914717492,7.153698049216389,5.791958380653688,8.806022424948218,7.533271367428812,6.518851201378334,8.286853554679956,9.04196953319736,4.148317249739073,7.385281080409462,7.1213407765360675,6.159808430222739,6.531102559760079,7.397939900166572,9.676182813237528,6.625050423869086,4.442976576038252,8.332361605452366,4.481724096119946,11.895722288290596,12.18349696131645,7.139263880728316,6.262565752520556,10.541336276138203
Acanthurus Acanthurus chronixis,10.909316369875736,10.363304184457068,5.806578286045493,9.921606623867056,9.314017570415812,0.0,7.321248139724358,6.949910421083569,9.598333469644084,10.288576891340153,8.683628264279083,9.903748412221537,9.682185142022195,9.283643467395777,6.862204354681392,10.740050348884845,8.513446339377158,9.307104483830752,10.062030352495471,11.122177133760971,11.262854928226101,9.634123392905146,10.868093632230824,8.861975522860508,10.170841919357885,9.055738304510003,11.377462162723127,7.46970771729153,10.72789516452003,11.001672466892682,8.909587519409897,8.339040382129465,10.719554335150091,10.345561212470242,10.230136021006633,8.872727608611592,10.695829587738478,9.997759356119904,5.5386935391114,10.80559816215532,11.11392137858341,9.654726508525261,10.571410765414049,11.490807175170003,10.313296618316473,10.951851371927917,12.592228511564466,9.933034204969351,11.004020352131947,10.837749636462906,11.434185888617245,11.693114770054043,8.644047487693046,10.874842800399016,8.833558041741515,9.937307983780661,10.541214797951453,8.37783444076778,10.281718702267758,14.505381433148367,6.350178387580135,11.041439697557495,11.196384483826233
Acanthurus Acanthurus dussumieri,5.431203576417873,6.3484410012588075,3.3430665457104354,4.737614149447596,4.0758991006640715,7.321248139724358,0.0,4.325271197679142,9.135564845867723,5.6627645551236085,3.97561951040164,7.890592608524024,5.679727334679651,7.503068993947606,4.015744049623914,7.501490125639026,5.086071243323772,6.035165974149585,7.453285181441701,6.010240167335218,7.1446614679885485,7.4885581528189,6.282968250048851,7.445630665820168,7.744634013429743,4.654748936044203,8.225148307962126,4.031457933512109,10.314185307002564,5.866936903735015,3.0700720895108775,5.948131080242579,6.569542359373605,9.501991376146005,6.902123121355874,9.316921075745254,8.090206727934516,8.506606421835118,7.240968271821663,7.123975399440031,7.333868513372544,5.95501932541955,8.829048937430258,8.253984953066034,6.142551246929388,8.319130645480858,8.085420782460162,6.025960679169969,7.238775155275473,6.977493168648231,6.71306082358688,7.627260730650488,7.36012813472344,9.601593910959433,5.310046007575747,5.478484364051376,8.015137017689732,4.066786362125519,9.903571997360359,12.658947378693167,5.764447291417266,5.896304498555863,10.434106950905111
Acanthurus Acanthurus fowleri,7.75769993311842,7.402972962889287,3.7613526192795783,6.2630737507479814,5.646756166727099,6.949910421083569,4.325271197679142,0.0,9.990500262433052,7.1172122575087355,5.282664593286635,7.1210248234593125,7.091924311520262,9.140775152218817,4.880073359655244,7.246551668987147,5.183913055124257,6.839671529828516,8.467518025169415,7.877247284819627,7.365299499189446,7.60249053183855,7.191881845936797,9.573155092249156,7.835853485814807,5.4436937303899775,8.046477091093797,5.091493502682417,10.981270360660348,7.275678629928691,4.976108567688838,5.83829989652979,6.779828883195343,8.841389526574671,6.585151758944268,9.910959697783646,8.406194424086761,8.199831873638576,6.896606159978221,8.0305922648287,7.46850170623582,6.540003822309132,9.103056951536917,9.005651955684076,7.748953203914855,8.130929482825083,8.914347239731622,6.887325970167957,7.735479801132195,8.420299322598705,7.324730436584382,8.955725928405299,7.883746180664497,11.612658210492357,6.521268499638624,7.30256845934867,8.380482661428744,5.425814325600646,11.572196547772734,12.226135708850734,3.779096702187978,7.023143532468752,10.53805671154259
Acanthurus Acanthurus gahhm,9.754062074302706,10.717340871991345,8.635494817774488,8.25148913460034,8.664057460034414,9.598333469644084,9.135564845867723,9.990500262433052,0.0,10.052040664067295,10.16872111065359,11.396647267777501,9.702331913625073,7.950546468423884,8.432029630389147,9.542449906803848,6.742546608807106,9.178408653587585,11.15473374368116,11.293428386551547,11.89391786307835,7.732548635696666,10.51996378983344,10.752901475228466,10.840762625174232,8.86409553173968,9.805875445438062,9.576090920202285,9.745130143717796,10.617422523095778,9.630652016298091,8.316146646118247,11.810247383998519,11.602934178492077,9.821450395886961,6.427167558231303,7.439610795518856,11.336945565298594,9.542028822282418,8.397749974124332,9.260803330020506,8.30325527549474,6.806074851473468,10.403059566016273,9.462372778512256,9.953810743197378,11.869766126489868,9.562283354119709,9.669509206070606,9.350984027874276,10.046565811989955,10.588973851704035,5.183149669673264,9.379797438096347,10.767318206961958,8.602596300324523,9.267314478888116,7.504983892242896,12.604907507032488,13.782470198325132,10.264626545806111,10.253783579275886,9.777524939415438
Acanthurus Acanthurus grammoptilus,5.366354090243537,6.749343354293249,6.413739264679133,4.982171214814157,3.970218283014235,10.288576891340153,5.6627645551236085,7.1172122575087355,10.052040664067295,0.0,5.282914705356548,6.966528033307153,3.7885474452805505,8.62891094288422,6.459382588047435,8.997539223760088,6.059725614359189,5.786016866381865,6.2965785633945925,6.660380224776925,8.657579319863254,9.499470437974585,5.627863095026362,11.146023576102955,6.650531784138922,4.220575605195837,9.383192037729307,7.44000418203594,10.220651167602377,4.7415052662105905,5.68512047828728,6.187057578206722,9.251520560100046,9.552125136017988,8.300245387291344,10.583661191589567,8.08146292730953,7.883002116376739,9.201935542038704,6.776356759895103,8.103445631027656,6.828296457545141,10.180315555050411,8.368905549246737,5.942938928470671,8.142469547707535,9.781068623124597,3.9573300842546817,8.211632025405915,8.151053969234766,6.159651666781182,5.447793423907797,9.267722545943695,10.632367689662507,5.8089679772095115,5.2350923594280125,9.739759213161303,5.3413110975288625,13.150079034518315,10.974470896028569,7.2603164055035085,5.745703597977686,10.479419076172096
