,Acanthurus Acanthurus bariene,Acanthurus Acanthurus blochii,Acanthurus Acanthurus chirurgus,Acanthurus Acanthurus dussumieri,Acanthurus Acanthurus guttatus,Acanthurus Acanthurus japonicus,Acanthurus Acanthurus leucocheilus,Acanthurus Acanthurus leucosternon,Acanthurus Acanthurus lineatus,Acanthurus Acanthurus mata,Acanthurus Acanthurus monroviae,Acanthurus Acanthurus nigricans,Acanthurus Acanthurus nigricauda,Acanthurus Acanthurus nigrofuscus,Acanthurus Acanthurus nubilus,Acanthurus Acanthurus olivaceus,Acanthurus Acanthurus pyroferus,Acanthurus Acanthurus tennentii,Acanthurus Acanthurus_achilles,Acanthurus Acanthurus_triostegus,Acanthurus Acanthurus_xanthopterus,Ctenochaetus Ctenochaetus binotatus,Ctenochaetus Ctenochaetus cyanocheilus,Ctenochaetus Ctenochaetus flavicauda,Ctenochaetus Ctenochaetus hawaiiensis,Ctenochaetus Ctenochaetus striatus,Ctenochaetus Ctenochaetus strigosus,Ctenochaetus Ctenochaetus truncatus,Naso Naso annulatus,Naso Naso brachycentron,Naso Naso brevirostris,Naso Naso caesius,Naso Naso fageni,Naso Naso hexacanthus,Naso Naso lituratus,Naso Naso maculatus,Naso Naso minor,Naso Naso tonganus,Naso Naso tuberosus,Naso Naso unicornis,Naso Naso vlamingii,Paracanthurus Paracanthurus_hepatus,Prionurus Prionurus laticlavius,Prionurus Prionurus microlepidotus,Zebrasoma Zebrasoma desjardinii,Zebrasoma Zebrasoma flavescens,Zebrasoma Zebrasoma gemmatum,Zebrasoma Zebrasoma scopas
Acanthurus Acanthurus bariene,0.0,5.435090308725816,5.7772717450530715,3.3430665457104354,4.0646512335956,7.486988399685544,5.720673334533441,7.041042547167236,3.7765098150739576,4.786025729217058,5.647686583028758,6.994186611907528,7.058599834895835,7.432563758957459,6.936203366645882,5.986773939023606,8.412428699296706,5.097505457010532,9.207241353972414,7.259489690981331,5.140916334405816,5.220662975687654,6.6332911157670384,9.280187684828876,5.861562708846963,7.190951375134447,8.606444176540979,5.988719690045384,7.420087689700741,7.24453263999432,5.6641805469977555,8.23094101224768,9.03339636180167,6.256531883622142,7.303092320180743,8.527890028953415,6.50781741859857,7.894346804481582,7.054448684450949,7.909188828481832,6.701604614451207,9.392667581738243,6.45077687870394,8.083955701075146,3.8322949928052696,10.357713945029872,11.916954203297893,4.450422383781168
Acanthurus Acanthurus blochii,5.435090308725816,0.0,3.8515892450449516,4.737614149447596,5.273629698719442,8.858304656003304,5.045517992762365,7.314524839856814,5.853163537174064,4.363820684157347,4.8770928827686735,7.769920165859025,5.791586348347448,6.524593481837845,6.452664456483043,4.650185628715991,9.579197500352251,5.0982788686063385,10.341041167421889,5.043422613936248,4.424127605236404,6.504488029980848,7.350867814412298,9.99270652737954,6.408339334497529,6.795790417290442,8.727496310065767,8.982363339677404,4.630849153144952,5.680540845404759,3.692873875722151,8.098560782114355,7.892373904745076,5.97716006239029,8.10129498870659,6.673739884450164,5.007943165128101,6.8223793702125795,4.515509821629447,6.159414961581052,6.553108175794495,8.911183309217577,4.287248146667862,8.084043007985994,3.469995824723049,11.604649567934363,12.265165341278648,7.476386020899856
Acanthurus Acanthurus chirurgus,5.7772717450530715,3.8515892450449516,0.0,4.0758991006640715,5.317826833910511,7.6945861361858,5.2841731626266695,8.122032466504162,5.017013282890044,4.49545781696721,5.811632546236786,7.740721088507276,7.0313808675289815,7.951979303997959,7.7720692742921,6.636673073548956,9.112828346525014,3.9132103605293693,10.438256697494795,4.303260949365384,3.413645478582415,5.817967816666315,8.501697846751657,9.187643953964718,7.976767388827367,7.782120412149945,8.039257918237158,8.751316372142325,6.179501914717492,7.153698049216389,5.791958380653688,8.806022424948218,7.533271367428812,6.518851201378334,8.286853554679956,9.04196953319736,4.148317249739073,7.1213407765360675,6.159808430222739,6.531102559760079,7.397939900166572,9.676182813237528,4.442976576038252,8.332361605452366,4.481724096119946,11.895722288290596,12.18349696131645,7.139263880728316
Acanthurus Acanthurus dussumieri,3.3430665457104354,4.737614149447596,4.0758991006640715,0.0,3.97561951040164,7.890592608524024,5.679727334679651,7.503068993947606,4.015744049623914,5.086071243323772,6.035165974149585,7.453285181441701,6.010240167335218,7.1446614679885485,7.4885581528189,6.282968250048851,7.445630665820168,4.654748936044203,10.314185307002564,5.866936903735015,3.0700720895108775,5.948131080242579,6.569542359373605,9.501991376146005,6.902123121355874,8.090206727934516,8.506606421835118,7.240968271821663,7.123975399440031,7.333868513372544,5.95501932541955,8.829048937430258,8.253984953066034,6.142551246929388,8.319130645480858,8.085420782460162,6.025960679169969,6.977493168648231,6.71306082358688,7.627260730650488,7.36012813472344,9.601593910959433,5.478484364051376,8.015137017689732,4.066786362125519,9.903571997360359,12.658947378693167,5.764447291417266
Acanthurus Acanthurus guttatus,4.0646512335956,5.273629698719442,5.317826833910511,3.97561951040164,0.0,7.477025038058484,4.302225877330879,9.415088157131255,5.133987409313622,5.555117188137997,6.287528798401655,5.33668462080548,5.378618976570909,6.231811448995683,8.034773055039446,4.716462473713074,9.373916750569462,4.936535723793108,10.30139867134112,5.67806676000745,4.510078010792256,5.2792459699674765,5.642858500909789,9.429316895660907,5.619261534791414,7.842310698904934,8.692207977099127,7.4553933050926675,7.265019301020203,6.8213026663268534,5.694381730594979,8.901726185291071,8.653437872012006,5.519626444390858,7.9467524472178175,7.456949434453795,5.874825402043765,7.666838918763144,6.160590384654216,6.94910730589106,8.645500709546631,10.845514194940133,5.9107558092655585,8.717394195161855,5.120002169210464,11.728886235068044,11.910040025944443,5.862498473231744
Acanthurus Acanthurus japonicus,7.486988399685544,8.858304656003304,7.6945861361858,7.890592608524024,7.477025038058484,0.0,7.21784703567953,10.180518234678589,6.152335482808966,7.217597444488224,6.780330480583522,6.702726542381795,10.273255312480286,9.741436659671281,10.578136134245478,8.898978909944399,12.476337756565473,7.160787700211564,9.931800649760508,8.529838233524345,8.124263226196675,7.074047351421661,10.01423717346856,7.221364163293493,9.211836307823964,9.17914290378704,6.275286012448887,8.584193567435877,10.426664515087133,9.957360829370014,9.418732831037964,10.682099686068227,10.826138378732892,8.2875095353354,7.965721987335636,12.399034511897726,6.571316450201735,10.093788217325185,9.570305713264165,8.570888679412993,10.232836117058662,12.61254039742615,9.658459949767252,10.3026014657153,7.3035603746336895,13.731682135051841,7.422704483634898,6.997751102740803
Acanthurus Acanthurus leucocheilus,5.720673334533441,5.045517992762365,5.2841731626266695,5.679727334679651,4.302225877330879,7.21784703567953,0.0,8.678842954115868,5.850362856223008,5.6532119382854455,4.962406913521955,4.545038776598313,6.3867365679151655,7.937103803519712,8.824607036985956,5.439543749830333,10.540571383250988,5.686093209696069,9.23060888415178,5.684741006109636,5.678532390072622,6.2571676858391525,8.755000637642608,9.023942094032773,7.736502353939423,7.538417206313107,7.090287405331003,8.023084644941314,5.816307392890807,7.148940062884985,5.8712454695912815,9.024836707567905,8.609896227075199,3.8841647288845254,8.181832202953126,8.697909879094953,4.944501924339984,7.51995322934363,5.849675987780049,4.920096557278893,8.521878702886614,9.904255678644223,4.701737305624514,9.115249796390007,5.149582172704443,12.51189663026857,10.624250551311281,6.601798204889006
Acanthurus Acanthurus leucosternon,7.041042547167236,7.314524839856814,8.122032466504162,7.503068993947606,9.415088157131255,10.180518234678589,8.678842954115868,0.0,6.623146751708429,7.310848192011775,7.150289075633262,10.494130673816324,10.738308545414833,11.157720097732271,8.45597446002171,9.390612540123085,10.769109787766196,8.471594184952721,8.40037437448881,9.623747371989761,8.452198984029575,9.395437441061567,11.467602039704742,11.188722438429068,10.321833492214607,7.909158273928313,10.47902978453388,9.618873103607404,8.7752356918781,9.615316879230893,8.277006834578078,9.333395128278068,11.075569417904374,8.697964363409508,7.869588710278424,11.737638919847194,8.247342146359786,9.63843536995881,9.758632560074233,8.61211118088756,6.541536735133381,6.95098541009275,8.571410135051368,9.590293815638631,5.637139378462081,11.483458466299227,12.554760617106458,9.94550958876472
Acanthurus Acanthurus lineatus,3.7765098150739576,5.853163537174064,5.017013282890044,4.015744049623914,5.133987409313622,6.152335482808966,5.850362856223008,6.623146751708429,0.0,4.339666518929639,5.0218877985568,6.804078338710044,8.45711889269136,8.166637171735912,7.301225303467047,7.461930419712409,8.353592746053716,5.558947455027628,8.522012195780734,6.919069508480284,4.703665654997298,5.725337979504934,8.162792425030306,8.274695476660408,7.6787836657016335,7.176205021586297,7.791961083441333,7.02981546877811,7.800572476409939,7.453767287336834,6.367450448653559,7.822848484066127,8.944024807609601,6.464809388442004,6.663449084757652,10.00296135146292,5.810884561688956,7.48692281647464,7.887977866849277,7.255441769032953,6.335856057682381,8.442366464851899,6.769610496285359,7.624375164401032,3.7516895172908944,10.240212258015166,10.92572348523949,6.219571920319198
Acanthurus Acanthurus mata,4.786025729217058,4.363820684157347,4.49545781696721,5.086071243323772,5.555117188137997,7.217597444488224,5.6532119382854455,7.310848192011775,4.339666518929639,0.0,5.69389726198392,7.341503328542732,7.442224459496065,7.486513088383857,5.8175703885775905,6.383037002888952,9.282505975326414,4.639368351041218,9.251939374120752,6.2430003103528176,5.385544059930457,4.581888338597989,7.90881372163503,8.077417305097912,6.1341277766286515,5.366710585166579,7.691718029446844,7.735969104211466,6.119505047055634,5.994949387731918,4.942257964159109,6.302198017899352,7.575762191571812,6.117210545219481,6.401114312020532,8.541466288709236,5.814773606381113,6.600820597095861,5.798456793791744,7.10352554969724,4.6832627069361115,9.136306785268127,5.119295178693304,7.198293311228895,3.3953336306352213,11.469063397042774,11.207560124581471,6.493491918924702
