species,accuracy,precision,recall,f1,iou,score,detected,TP,FP,FN,TN
Acanthurus albimento,0.9458,0.9406,0.8636,0.9005,0.819,0.1907,True,257219,16234,40629,734494
Acanthurus blochii,0.9652,0.9488,0.9206,0.9345,0.877,0.167,True,259901,14011,22431,752233
Acanthurus gahhm,0.9683,0.929,0.9077,0.9182,0.8488,0.1619,True,186360,14247,18942,829027
Acanthurus nigrofuscus,0.958,0.9376,0.8357,0.8837,0.7917,0.1222,True,167393,11139,32914,837130
Acanthurus pyroferus,0.9792,0.9686,0.9575,0.963,0.9287,0.1589,True,283767,9201,12583,743025
Ctenochaetus marginatus,0.9043,0.8478,0.7347,0.7872,0.6491,0.2037,True,185656,33326,67050,762544
Naso fageni,0.9783,0.9337,0.896,0.9145,0.8425,0.1293,True,121945,8656,14149,903826
Naso lituratus,0.9465,0.8837,0.7914,0.835,0.7167,0.1482,True,141993,18686,37431,850466
Prionurus microlepidotus,0.9766,0.9385,0.9514,0.9449,0.8956,0.188,True,210882,13810,10776,813108
Zebrasoma scopas,0.9273,0.9543,0.7792,0.8579,0.7512,0.1655,True,230264,11036,65237,742039
,,,,,,,,,,,
MACRO_AVG,0.9549,0.9283,0.8638,0.8939,0.812,,,,,,
MICRO_AVG,0.9549,0.9315,0.8639,0.8964,0.8123,,,,,,
ROC_AUC,0.9345636518766862,0.9254024975659041,,,,,,,,,
