,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_achilles,0.000000,33.113137,33.113137,33.113137,33.113137,29.083268,6.770574,33.113137,8.400332,31.611989,33.113137,33.113137,6.770574,33.113137,31.611989,33.113138,33.113138,33.113138,33.113138,36.145899,33.113137,33.113138,33.113137,33.113138,33.113138,33.113138,33.113138,33.113137,33.113138,115.352000,115.351999,115.352000,115.352000,115.351999,115.352000,115.352000,115.352000,115.351999,115.351999,115.352000,115.352000,77.814794,88.167636,88.167635,77.814793,77.814793,77.814794,77.814793,77.814793
Acanthurus_bariene,33.113137,0.000000,13.254378,25.369696,3.711420,33.113137,33.113137,18.040788,33.113137,33.113138,13.254378,25.369696,33.113137,18.040788,33.113138,27.765277,22.463695,27.765277,22.463695,36.145900,13.254378,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765276,27.765277,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Acanthurus_blochii,33.113137,13.254378,0.000000,25.369696,13.254378,33.113137,33.113137,18.040788,33.113137,33.113138,8.116408,25.369696,33.113137,18.040788,33.113138,27.765277,22.463695,27.765277,22.463695,36.145900,10.332250,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765276,27.765277,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Acanthurus_chirurgus,33.113137,25.369696,25.369696,0.000000,25.369696,33.113137,33.113137,25.369696,33.113137,33.113138,25.369696,21.409602,33.113137,25.369696,33.113138,27.765277,25.369697,27.765277,25.369697,36.145900,25.369696,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765276,27.765277,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Acanthurus_dussumieri,33.113137,3.711420,13.254378,25.369696,0.000000,33.113137,33.113137,18.040788,33.113137,33.113138,13.254378,25.369696,33.113137,18.040788,33.113138,27.765277,22.463695,27.765277,22.463695,36.145900,13.254378,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765276,27.765277,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Acanthurus_guttatus,29.083268,33.113137,33.113137,33.113137,33.113137,0.000000,29.083268,33.113137,29.083268,31.611989,33.113137,33.113137,29.083268,33.113137,31.611989,33.113138,33.113138,33.113138,33.113138,36.145899,33.113137,33.113138,33.113137,33.113138,33.113138,33.113138,33.113138,33.113137,33.113138,115.352000,115.351999,115.352000,115.352000,115.351999,115.352000,115.352000,115.352000,115.351999,115.351999,115.352000,115.352000,77.814794,88.167636,88.167635,77.814793,77.814793,77.814794,77.814793,77.814793
Acanthurus_japonicus,6.770574,33.113137,33.113137,33.113137,33.113137,29.083268,0.000000,33.113137,8.400332,31.611989,33.113137,33.113137,4.032128,33.113137,31.611989,33.113138,33.113138,33.113138,33.113138,36.145899,33.113137,33.113138,33.113137,33.113138,33.113138,33.113138,33.113138,33.113137,33.113138,115.352000,115.351999,115.352000,115.352000,115.351999,115.352000,115.352000,115.352000,115.351999,115.351999,115.352000,115.352000,77.814794,88.167636,88.167635,77.814793,77.814793,77.814794,77.814793,77.814793
Acanthurus_leucocheilus,33.113137,18.040788,18.040788,25.369696,18.040788,33.113137,33.113137,0.000000,33.113137,33.113138,18.040788,25.369696,33.113137,13.962134,33.113138,27.765277,22.463695,27.765277,22.463695,36.145900,18.040788,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765276,27.765277,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Acanthurus_leucosternon,8.400332,33.113137,33.113137,33.113137,33.113137,29.083268,8.400332,33.113137,0.000000,31.611989,33.113137,33.113137,8.400332,33.113137,31.611989,33.113138,33.113138,33.113138,33.113138,36.145899,33.113137,33.113138,33.113137,33.113138,33.113138,33.113138,33.113138,33.113137,33.113138,115.352000,115.351999,115.352000,115.352000,115.351999,115.352000,115.352000,115.352000,115.351999,115.351999,115.352000,115.352000,77.814794,88.167636,88.167635,77.814793,77.814793,77.814794,77.814793,77.814793
Acanthurus_lineatus,31.611989,33.113138,33.113138,33.113138,33.113138,31.611989,31.611989,33.113138,31.611989,0.000000,33.113138,33.113138,31.611989,33.113138,27.381092,33.113139,33.113139,33.113139,33.113139,36.145900,33.113138,33.113139,33.113138,33.113139,33.113139,33.113139,33.113139,33.113138,33.113139,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
