"statistic","row","col","value"
"sample.z","physignal_results[[""color""]]",NA,-2.97906847983605
"sample.z","physignal_results[[""stripe""]]",NA,0.35306486983994
"sample.z","physignal_results[[""spot""]]",NA,-2.04905666486789
"sample.logL.sd","physignal_results[[""color""]]",NA,0.206491051615415
"sample.logL.sd","physignal_results[[""stripe""]]",NA,0.216668584292023
"sample.logL.sd","physignal_results[[""spot""]]",NA,0.203925893999546
"pairwise.z","physignal_results[[""color""]]","physignal_results[[""color""]]",0
"pairwise.z","physignal_results[[""color""]]","physignal_results[[""stripe""]]",2.04975927101383
"pairwise.z","physignal_results[[""color""]]","physignal_results[[""spot""]]",0.367001834698301
"pairwise.z","physignal_results[[""stripe""]]","physignal_results[[""color""]]",2.04975927101383
"pairwise.z","physignal_results[[""stripe""]]","physignal_results[[""stripe""]]",0
"pairwise.z","physignal_results[[""stripe""]]","physignal_results[[""spot""]]",1.70394692753162
"pairwise.z","physignal_results[[""spot""]]","physignal_results[[""color""]]",0.367001834698301
"pairwise.z","physignal_results[[""spot""]]","physignal_results[[""stripe""]]",1.70394692753162
"pairwise.z","physignal_results[[""spot""]]","physignal_results[[""spot""]]",0
"pairwise.P","physignal_results[[""color""]]","physignal_results[[""color""]]",1
"pairwise.P","physignal_results[[""color""]]","physignal_results[[""stripe""]]",0.040387927914881
"pairwise.P","physignal_results[[""color""]]","physignal_results[[""spot""]]",0.713617649465158
"pairwise.P","physignal_results[[""stripe""]]","physignal_results[[""color""]]",0.040387927914881
"pairwise.P","physignal_results[[""stripe""]]","physignal_results[[""stripe""]]",1
"pairwise.P","physignal_results[[""stripe""]]","physignal_results[[""spot""]]",0.088391002789961
"pairwise.P","physignal_results[[""spot""]]","physignal_results[[""color""]]",0.713617649465158
"pairwise.P","physignal_results[[""spot""]]","physignal_results[[""stripe""]]",0.088391002789961
"pairwise.P","physignal_results[[""spot""]]","physignal_results[[""spot""]]",1
