species,mean_spot_count,mean_spot_area_fraction,prop_spotted
Acanthurus_achilles,-0.717951,-0.344953,-0.598313
Acanthurus_bariene,0.164338,-1.212293,0.854979
Acanthurus_blochii,-1.217361,-1.569905,-0.369102
Acanthurus_chirurgus,0.675642,0.102723,0.671890
Acanthurus_dussumieri,0.700716,0.556254,0.470078
Acanthurus_guttatus,1.102239,0.579781,1.199798
Acanthurus_japonicus,-1.028852,0.231403,-1.546199
Acanthurus_leucocheilus,1.324055,-0.037049,1.637947
Acanthurus_leucosternon,-0.987193,1.072036,-1.389247
Acanthurus_lineatus,-1.169698,0.753229,-1.470431
Acanthurus_mata,-0.160880,-0.401275,-1.470431
Acanthurus_monroviae,0.364075,0.697875,-0.598313
Acanthurus_nigricans,-1.930692,-0.957052,-0.990026
Acanthurus_nigricauda,0.911682,-0.045285,0.917215
Acanthurus_nigrofuscus,0.927763,0.208017,0.568741
Acanthurus_nubilus,0.975426,-0.368494,0.917215
Acanthurus_olivaceus,0.695164,-0.059503,1.030919
Acanthurus_pyroferus,0.129093,0.406354,0.292792
Acanthurus_tennentii,-0.277564,3.236874,-0.026339
Acanthurus_triostegus,0.085369,-0.200201,0.144395
Acanthurus_xanthopterus,-1.061713,0.464787,-1.684076
Ctenochaetus_binotatus,-0.858130,0.850097,-1.807016
Ctenochaetus_cyanocheilus,-1.469482,0.182609,-1.207083
Ctenochaetus_flavicauda,-1.048007,1.287693,-1.103730
Ctenochaetus_hawaiiensis,0.939189,-0.335235,1.012275
Ctenochaetus_striatus,1.469498,0.169092,1.520725
Ctenochaetus_strigosus,0.450813,1.458625,-0.863664
Ctenochaetus_tominiensis,-0.447792,-0.110187,0.031303
Ctenochaetus_truncatus,-0.596657,0.434225,-1.103730
Naso_annulatus,0.337489,0.225388,0.982376
Naso_brachycentron,1.565700,-0.244181,1.849926
Naso_brevirostris,0.390396,-1.056251,0.452338
Naso_caesius,0.927763,-1.777244,1.199798
Naso_fageni,-0.396920,-0.718211,-0.863664
Naso_hexacanthus,1.222452,-1.578774,1.125629
Naso_lituratus,0.114598,1.036630,-0.198367
Naso_minor,-2.820750,1.401821,-0.141121
Naso_tonganus,-0.185186,-1.379374,0.070477
Naso_tuberosus,1.436637,-1.535586,1.107004
Naso_unicornis,0.493138,-0.241718,-0.198367
Naso_vlamingii,1.026111,-0.430199,1.199798
Paracanthurus_hepatus,-1.651986,1.596324,-0.863664
Prionurus_laticlavius,-1.340419,-1.342442,-0.275543
Prionurus_microlepidotus,-0.299537,0.079638,-1.546199
Zebrasoma_desjardinii,0.752882,-1.003853,0.222508
Zebrasoma_flavescens,-0.179378,-0.945505,-0.558891
Zebrasoma_gemmatum,1.222452,-0.637484,1.125629
Zebrasoma_scopas,-0.564930,-0.312742,-0.026339
Zebrasoma_veliferum,0.006400,1.813523,0.294097
