species,mean_elongated_region_count,mean_periodicity_strength,prop_striped
Acanthurus_achilles,0.525519,1.976619,-0.993221
Acanthurus_bariene,0.099089,0.109658,-0.390696
Acanthurus_blochii,-2.044852,0.781262,0.191636
Acanthurus_chirurgus,-0.038330,-0.336943,-0.850730
Acanthurus_dussumieri,0.543934,0.806478,0.009943
Acanthurus_guttatus,-0.393728,1.367950,-0.741436
Acanthurus_japonicus,0.015706,-0.662915,-0.741436
Acanthurus_leucocheilus,0.187995,-0.243563,-0.472622
Acanthurus_leucosternon,-0.257782,1.251040,-0.617022
Acanthurus_lineatus,2.838208,-0.510474,4.375237
Acanthurus_mata,1.228201,0.228066,1.510457
Acanthurus_monroviae,0.199294,0.282432,-0.993221
Acanthurus_nigricans,0.410536,-0.116587,-0.300564
Acanthurus_nigricauda,0.438084,-0.233668,-0.681376
Acanthurus_nigrofuscus,-0.291452,-0.174719,-0.087680
Acanthurus_nubilus,2.024207,-0.308341,1.510457
Acanthurus_olivaceus,-0.084413,0.180654,-0.850730
Acanthurus_pyroferus,-1.666915,0.785716,-0.300564
Acanthurus_tennentii,0.426484,-1.753757,-0.547713
Acanthurus_triostegus,0.410536,-1.779077,0.598680
Acanthurus_xanthopterus,0.828086,-0.580502,0.154621
Ctenochaetus_binotatus,-0.111105,0.710353,0.055641
Ctenochaetus_cyanocheilus,0.393085,-0.544066,0.540086
Ctenochaetus_flavicauda,0.230730,0.192330,0.623931
Ctenochaetus_hawaiiensis,1.680707,-2.165446,1.286639
Ctenochaetus_striatus,-0.331612,-0.555609,-0.741436
Ctenochaetus_strigosus,0.240080,-1.488984,0.819144
Ctenochaetus_tominiensis,-0.868159,1.743318,-0.993221
Ctenochaetus_truncatus,-0.782966,-1.195031,-0.390696
Naso_annulatus,-1.224098,-1.130956,-0.300564
Naso_brachycentron,-0.139839,0.754929,-0.087680
Naso_brevirostris,-0.144677,0.499009,-0.681376
Naso_caesius,-0.139839,-0.045241,-0.741436
Naso_fageni,-0.197172,0.439245,-0.200398
Naso_hexacanthus,-1.286996,0.250594,-0.200398
Naso_lituratus,-0.125410,0.902124,-0.681376
Naso_minor,-2.271728,1.296163,0.372354
Naso_tonganus,-0.372764,-1.028192,-0.472622
Naso_tuberosus,0.410536,-1.377582,1.361730
Naso_unicornis,0.055919,-1.145657,-0.681376
Naso_vlamingii,1.015349,0.056681,0.777894
Paracanthurus_hepatus,-0.698989,2.398895,-0.200398
Prionurus_laticlavius,-1.407424,0.538086,-0.741436
Prionurus_microlepidotus,-0.643616,0.291805,-0.741436
Zebrasoma_desjardinii,2.305792,-1.606704,2.734825
Zebrasoma_flavescens,-0.629670,-0.230549,0.041193
Zebrasoma_gemmatum,-0.698989,0.892592,-0.200398
Zebrasoma_scopas,-0.948979,0.805950,-0.547713
Zebrasoma_veliferum,1.293431,-0.327391,0.208501
