species,mean_dominant_fraction,mean_hue_dispersion,mean_n_significant_colors,prop_solid
Acanthurus_achilles,1.084098,0.979328,0.811866,-1.168089
Acanthurus_bariene,-0.165029,0.092280,0.753116,-0.434293
Acanthurus_blochii,1.013186,-1.840565,-2.444757,1.152183
Acanthurus_chirurgus,-0.212016,-0.467641,-0.007455,0.276362
Acanthurus_dussumieri,-0.198710,0.188235,0.811866,-0.357436
Acanthurus_guttatus,0.193864,-0.813125,-0.092596,1.093655
Acanthurus_japonicus,-1.066864,1.954009,1.735818,-1.793587
Acanthurus_leucocheilus,0.204932,-0.912922,-1.462055,1.676405
Acanthurus_leucosternon,0.613819,2.401903,1.129139,-1.687217
Acanthurus_lineatus,-1.715915,2.975901,1.597419,-2.945218
Acanthurus_mata,-1.085509,-0.206874,0.260367,-0.094654
Acanthurus_monroviae,0.034519,-0.222879,-0.442898,-0.084640
Acanthurus_nigricans,1.039329,0.138338,0.417784,-0.293359
Acanthurus_nigricauda,-0.301930,-0.366630,0.417784,1.045375
Acanthurus_nigrofuscus,0.059225,-0.055661,0.359034,-0.552034
Acanthurus_nubilus,-1.541542,-0.110539,1.024463,0.111392
Acanthurus_olivaceus,0.182619,-0.218476,-1.462055,0.276362
Acanthurus_pyroferus,-1.389354,1.723559,1.314920,-1.410798
Acanthurus_tennentii,-0.821226,-0.297389,0.737242,0.223168
Acanthurus_xanthopterus,0.010198,-0.280054,0.127326,0.276362
Ctenochaetus_binotatus,-1.434297,0.898462,0.876107,-1.286213
Ctenochaetus_cyanocheilus,0.685130,0.121906,-0.564918,-0.103381
Ctenochaetus_flavicauda,-1.548047,0.619956,0.544815,-0.434293
Ctenochaetus_hawaiiensis,-0.533221,-0.356378,-0.026854,0.288025
Ctenochaetus_striatus,-0.789805,-0.744173,-0.564918,0.402393
Ctenochaetus_strigosus,1.120196,-0.943270,-2.444757,0.656965
Ctenochaetus_tominiensis,0.376429,0.736233,0.373052,-0.880055
Ctenochaetus_truncatus,0.666395,-0.376811,-1.044566,0.386426
Naso_annulatus,-0.331223,-0.535063,-0.564918,0.738117
Naso_brachycentron,-0.654753,-1.608417,-0.247645,1.372615
Naso_brevirostris,-0.476247,-1.083351,-0.226837,1.045375
Naso_caesius,0.745232,-1.194648,-0.727293,0.689518
Naso_fageni,-1.095395,-0.880496,0.776003,1.461570
Naso_hexacanthus,1.675601,-0.754435,-1.154254,0.656965
Naso_lituratus,1.752332,0.053215,-0.914463,0.111392
Naso_minor,3.215414,-0.689108,-2.865655,1.009564
Naso_tonganus,0.719663,-1.152922,-0.352322,0.877193
Naso_unicornis,0.351453,-0.620647,-0.061864,0.638309
Naso_vlamingii,-0.198358,0.849740,0.931991,-0.552034
Paracanthurus_hepatus,0.566829,1.728200,0.260367,-1.761034
Prionurus_laticlavius,1.866490,0.021198,0.210678,-0.384692
Prionurus_microlepidotus,-0.848785,-0.825883,0.210678,1.888548
Zebrasoma_desjardinii,-0.095602,0.344372,0.260367,-0.249210
Zebrasoma_flavescens,-0.025470,-0.535433,0.146437,0.460739
Zebrasoma_gemmatum,-0.358755,0.712993,0.521408,-0.692882
Zebrasoma_scopas,-0.333175,0.882085,-0.175794,-0.859533
Zebrasoma_veliferum,-0.955726,0.671877,1.238827,-0.790327
