species,mean_spot_count,mean_spot_area_fraction,prop_spotted
Acanthurus_achilles,-0.686449,-0.383777,-0.567356
Acanthurus_bariene,0.196973,-1.255413,0.874925
Acanthurus_blochii,-1.186500,-1.614797,-0.339882
Acanthurus_chirurgus,0.708935,0.066117,0.693223
Acanthurus_dussumieri,0.734041,0.521895,0.492941
Acanthurus_guttatus,1.136079,0.545539,1.217132
Acanthurus_japonicus,-0.997749,0.195434,-1.508060
Acanthurus_leucocheilus,1.358181,-0.074348,1.651960
Acanthurus_leucosternon,-0.956037,1.040232,-1.352297
Acanthurus_lineatus,-1.138775,0.719846,-1.432866
Acanthurus_mata,-0.128662,-0.440378,-1.432866
Acanthurus_monroviae,0.396967,0.664218,-0.567356
Acanthurus_nigricans,-1.900747,-0.998908,-0.956101
Acanthurus_nigricauda,0.945278,-0.082624,0.936690
Acanthurus_nigrofuscus,0.961379,0.171933,0.590856
Acanthurus_nubilus,1.009104,-0.407434,0.936690
Acanthurus_olivaceus,0.728482,-0.096913,1.049532
Acanthurus_pyroferus,0.161683,0.371253,0.316997
Acanthurus_tennentii,-0.245496,3.215794,0.000284
Acanthurus_xanthopterus,-1.030652,0.429975,-1.644892
Ctenochaetus_binotatus,-0.826808,0.817193,-1.766902
Ctenochaetus_cyanocheilus,-1.438944,0.146399,-1.171513
Ctenochaetus_flavicauda,-1.016928,1.256957,-1.068944
Ctenochaetus_hawaiiensis,0.972820,-0.374011,1.031029
Ctenochaetus_striatus,1.503810,0.132815,1.535627
Ctenochaetus_strigosus,0.483816,1.428736,-0.830696
Ctenochaetus_tominiensis,-0.415942,-0.147847,0.057490
Ctenochaetus_truncatus,-0.564999,0.399261,-1.068944
Naso_annulatus,0.370347,0.189390,1.001357
Naso_brachycentron,1.600135,-0.282505,1.862333
Naso_brevirostris,0.423322,-1.098598,0.475334
Naso_caesius,0.961379,-1.823162,1.217132
Naso_fageni,-0.365005,-0.758883,-0.830696
Naso_hexacanthus,1.256447,-1.623709,1.143525
Naso_lituratus,0.147170,1.004650,-0.170441
Naso_minor,-2.791948,1.371651,-0.113628
Naso_tonganus,-0.152999,-1.423322,0.096367
Naso_unicornis,0.526196,-0.280030,-0.170441
Naso_vlamingii,1.059853,-0.469445,1.217132
Paracanthurus_hepatus,-1.621683,1.567117,-0.830696
Prionurus_laticlavius,-1.309716,-1.386207,-0.247032
Prionurus_microlepidotus,-0.267497,0.042918,-1.508060
Zebrasoma_desjardinii,0.786273,-1.045940,0.247246
Zebrasoma_flavescens,-0.147184,-0.987303,-0.528233
Zebrasoma_gemmatum,1.256447,-0.677756,1.143525
Zebrasoma_scopas,-0.533230,-0.351406,0.000284
Zebrasoma_veliferum,0.038833,1.785392,0.318293
