species,mean_elongated_region_count,mean_periodicity_strength,prop_striped
Acanthurus_achilles,0.587464,1.979671,0.881485
Acanthurus_bariene,-0.065245,0.044058,0.232142
Acanthurus_blochii,-1.793370,0.740358,-0.582416
Acanthurus_chirurgus,-0.173772,-0.418966,-0.613489
Acanthurus_dussumieri,0.537204,0.766501,0.206768
Acanthurus_guttatus,-0.571099,1.348620,-1.365709
Acanthurus_japonicus,-0.105070,-0.756925,-1.365709
Acanthurus_leucocheilus,-0.039245,-0.322152,0.155832
Acanthurus_leucosternon,-0.087879,1.227411,0.022883
Acanthurus_lineatus,2.784354,-0.598877,3.776110
Acanthurus_mata,1.258546,0.166819,0.743881
Acanthurus_monroviae,0.144800,0.223185,0.402135
Acanthurus_nigricans,0.371471,-0.190507,0.660553
Acanthurus_nigricauda,0.355502,-0.311894,0.524703
Acanthurus_nigrofuscus,-0.367848,-0.250776,-0.816896
Acanthurus_nubilus,2.083626,-0.389312,1.516001
Acanthurus_olivaceus,-0.100595,0.117664,-0.613489
Acanthurus_pyroferus,-1.506577,0.744976,-0.995607
Acanthurus_tennentii,0.446646,-1.887879,0.669170
Acanthurus_xanthopterus,0.810032,-0.671480,1.071155
Ctenochaetus_binotatus,-0.034096,0.666841,-0.275882
Ctenochaetus_cyanocheilus,0.445189,-0.633705,0.753164
Ctenochaetus_flavicauda,0.401516,0.129769,0.232142
Ctenochaetus_hawaiiensis,1.728889,-2.314706,0.593516
Ctenochaetus_striatus,-0.187879,-0.645673,0.461600
Ctenochaetus_strigosus,0.278754,-1.613370,0.768558
Ctenochaetus_tominiensis,-0.748642,1.737790,-0.734944
Ctenochaetus_truncatus,-0.731908,-1.308607,-1.071271
Naso_annulatus,-1.219784,-1.242176,-0.995607
Naso_brachycentron,-0.065245,0.713057,-0.816896
Naso_brevirostris,-0.196405,0.447726,-0.035794
Naso_caesius,-0.105070,-0.116537,0.215157
Naso_fageni,-0.173772,0.385765,-0.911520
Naso_hexacanthus,-0.989838,0.190177,-0.911520
Naso_lituratus,0.016488,0.865665,0.273557
Naso_minor,-2.310109,1.274193,-0.430708
Naso_tonganus,-0.320889,-1.135633,0.155832
Naso_unicornis,0.055815,-1.257418,-0.468802
Naso_vlamingii,1.044621,-0.010867,1.052403
Paracanthurus_hepatus,-0.601525,2.417475,-0.911520
Prionurus_laticlavius,-1.321303,0.488239,-1.365709
Prionurus_microlepidotus,-0.804564,0.232902,-0.520158
Zebrasoma_desjardinii,2.346609,-1.735418,2.111599
Zebrasoma_flavescens,-0.361053,-0.308659,-0.708710
Zebrasoma_gemmatum,-1.054051,0.855782,-0.911520
Zebrasoma_scopas,-0.909637,0.765954,-1.203083
Zebrasoma_veliferum,1.248944,-0.409062,1.146614
