species,mean_spot_count,mean_spot_area_fraction
Acanthurus_achilles,-0.717951,-0.344953
Acanthurus_bariene,0.164338,-1.212293
Acanthurus_blochii,-1.217361,-1.569905
Acanthurus_chirurgus,0.675642,0.102723
Acanthurus_dussumieri,0.700716,0.556254
Acanthurus_guttatus,1.102239,0.579781
Acanthurus_japonicus,-1.028852,0.231403
Acanthurus_leucocheilus,1.324055,-0.037049
Acanthurus_leucosternon,-0.987193,1.072036
Acanthurus_lineatus,-1.169698,0.753229
Acanthurus_mata,-0.160880,-0.401275
Acanthurus_monroviae,0.364075,0.697875
Acanthurus_nigricans,-1.930692,-0.957052
Acanthurus_nigricauda,0.911682,-0.045285
Acanthurus_nigrofuscus,0.927763,0.208017
Acanthurus_nubilus,0.975426,-0.368494
Acanthurus_olivaceus,0.695164,-0.059503
Acanthurus_pyroferus,0.129093,0.406354
Acanthurus_tennentii,-0.277564,3.236874
Acanthurus_triostegus,0.085369,-0.200201
Acanthurus_xanthopterus,-1.061713,0.464787
Ctenochaetus_binotatus,-0.858130,0.850097
Ctenochaetus_cyanocheilus,-1.469482,0.182609
Ctenochaetus_flavicauda,-1.048007,1.287693
Ctenochaetus_hawaiiensis,0.939189,-0.335235
Ctenochaetus_striatus,1.469498,0.169092
Ctenochaetus_strigosus,0.450813,1.458625
Ctenochaetus_tominiensis,-0.447792,-0.110187
Ctenochaetus_truncatus,-0.596657,0.434225
Naso_annulatus,0.337489,0.225388
Naso_brachycentron,1.565700,-0.244181
Naso_brevirostris,0.390396,-1.056251
Naso_caesius,0.927763,-1.777244
Naso_fageni,-0.396920,-0.718211
Naso_hexacanthus,1.222452,-1.578774
Naso_lituratus,0.114598,1.036630
Naso_minor,-2.820750,1.401821
Naso_tonganus,-0.185186,-1.379374
Naso_tuberosus,1.436637,-1.535586
Naso_unicornis,0.493138,-0.241718
Naso_vlamingii,1.026111,-0.430199
Paracanthurus_hepatus,-1.651986,1.596324
Prionurus_laticlavius,-1.340419,-1.342442
Prionurus_microlepidotus,-0.299537,0.079638
Zebrasoma_desjardinii,0.752882,-1.003853
Zebrasoma_flavescens,-0.179378,-0.945505
Zebrasoma_gemmatum,1.222452,-0.637484
Zebrasoma_scopas,-0.564930,-0.312742
Zebrasoma_veliferum,0.006400,1.813523
