species,mean_elongated_region_count,mean_periodicity_strength
Acanthurus_achilles,0.525519,1.976619
Acanthurus_bariene,0.099089,0.109658
Acanthurus_blochii,-2.044852,0.781262
Acanthurus_chirurgus,-0.038330,-0.336943
Acanthurus_dussumieri,0.543934,0.806478
Acanthurus_guttatus,-0.393728,1.367950
Acanthurus_japonicus,0.015706,-0.662915
Acanthurus_leucocheilus,0.187995,-0.243563
Acanthurus_leucosternon,-0.257782,1.251040
Acanthurus_lineatus,2.838208,-0.510474
Acanthurus_mata,1.228201,0.228066
Acanthurus_monroviae,0.199294,0.282432
Acanthurus_nigricans,0.410536,-0.116587
Acanthurus_nigricauda,0.438084,-0.233668
Acanthurus_nigrofuscus,-0.291452,-0.174719
Acanthurus_nubilus,2.024207,-0.308341
Acanthurus_olivaceus,-0.084413,0.180654
Acanthurus_pyroferus,-1.666915,0.785716
Acanthurus_tennentii,0.426484,-1.753757
Acanthurus_triostegus,0.410536,-1.779077
Acanthurus_xanthopterus,0.828086,-0.580502
Ctenochaetus_binotatus,-0.111105,0.710353
Ctenochaetus_cyanocheilus,0.393085,-0.544066
Ctenochaetus_flavicauda,0.230730,0.192330
Ctenochaetus_hawaiiensis,1.680707,-2.165446
Ctenochaetus_striatus,-0.331612,-0.555609
Ctenochaetus_strigosus,0.240080,-1.488984
Ctenochaetus_tominiensis,-0.868159,1.743318
Ctenochaetus_truncatus,-0.782966,-1.195031
Naso_annulatus,-1.224098,-1.130956
Naso_brachycentron,-0.139839,0.754929
Naso_brevirostris,-0.144677,0.499009
Naso_caesius,-0.139839,-0.045241
Naso_fageni,-0.197172,0.439245
Naso_hexacanthus,-1.286996,0.250594
Naso_lituratus,-0.125410,0.902124
Naso_minor,-2.271728,1.296163
Naso_tonganus,-0.372764,-1.028192
Naso_tuberosus,0.410536,-1.377582
Naso_unicornis,0.055919,-1.145657
Naso_vlamingii,1.015349,0.056681
Paracanthurus_hepatus,-0.698989,2.398895
Prionurus_laticlavius,-1.407424,0.538086
Prionurus_microlepidotus,-0.643616,0.291805
Zebrasoma_desjardinii,2.305792,-1.606704
Zebrasoma_flavescens,-0.629670,-0.230549
Zebrasoma_gemmatum,-0.698989,0.892592
Zebrasoma_scopas,-0.948979,0.805950
Zebrasoma_veliferum,1.293431,-0.327391
