,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_achilles,0.000000,1.756450,4.885726,3.142100,1.839007,3.864402,2.609919,4.611560,0.715854,3.126319,3.164764,2.790984,1.214437,3.431176,1.715739,3.347831,3.338659,2.774391,3.074404,2.688106,2.805521,2.444342,3.062458,3.374983,4.096188,4.303995,0.962072,3.444119,3.977739,4.892224,4.462294,4.125697,4.582822,3.926329,2.740554,4.474245,4.054236,3.249095,1.556174,1.106844,1.630839,4.495959,1.900730,3.200858,2.015318,2.440163,2.515493
Acanthurus_bariene,1.756450,0.000000,4.141255,1.744329,0.372434,2.833656,1.955634,3.677562,1.743924,2.395458,1.482559,1.860291,1.399824,2.064193,0.687813,1.702384,2.576737,1.900461,1.352449,1.521284,1.760779,2.167996,1.598238,1.876670,2.669665,3.716387,1.147764,2.785483,2.712821,3.479627,3.053900,3.374985,3.018517,3.414248,2.709499,4.033438,3.246362,2.295340,0.776803,1.736353,1.904808,2.989887,0.802060,1.957746,0.805183,1.693347,1.311228
Acanthurus_blochii,4.885726,4.141255,0.000000,2.663776,4.324054,1.535300,6.020248,0.810941,5.385315,6.353786,3.914500,2.675492,3.691822,2.977910,3.722455,4.661155,2.285476,5.879774,3.815979,2.683118,5.609427,2.888406,4.942881,2.934427,2.541118,0.791344,4.368101,1.661623,2.133724,2.194815,2.147365,0.926185,3.608674,1.067007,2.639067,1.030122,1.010050,1.862200,4.821946,4.832509,3.349136,2.805627,3.757428,2.329222,4.620561,4.376422,5.266335
Acanthurus_chirurgus,3.142100,1.744329,2.663776,0.000000,1.899311,1.388133,3.443734,2.085870,3.362870,3.733188,1.287750,1.003116,2.158852,1.215877,1.544421,2.115697,1.478937,3.266081,1.270823,0.580483,2.981372,1.837377,2.300534,0.521348,1.037609,2.405788,2.392317,1.596858,1.056433,1.831383,1.380579,2.019261,2.137012,2.223418,2.272725,2.809537,1.898760,1.024438,2.444088,2.937544,2.248908,1.620791,1.483982,0.561793,2.106951,2.185567,2.659276
Acanthurus_dussumieri,1.839007,0.372434,4.324054,1.899311,0.000000,2.956357,1.778265,3.824424,1.736337,2.222666,1.489810,2.088769,1.565664,2.027924,1.031104,1.524486,2.760502,1.717371,1.319662,1.679048,1.609396,2.369259,1.458731,1.957300,2.805555,3.937816,1.323963,2.985055,2.812948,3.563111,3.157367,3.600052,2.958597,3.621529,2.916703,4.197348,3.436480,2.466348,0.587742,1.876594,2.145711,2.995923,0.891873,2.093023,0.763904,1.793369,1.123874
Acanthurus_guttatus,3.864402,2.833656,1.535300,1.388133,2.956357,0.000000,4.661738,1.054677,4.247301,4.999480,2.591976,1.811995,2.676243,1.449594,2.584024,3.186704,1.769200,4.510347,2.363594,1.422944,4.266766,2.260423,3.588476,1.655695,1.645768,1.573843,3.320833,1.321579,1.154107,1.426250,1.180133,1.189166,2.276481,1.420813,2.323296,1.805037,0.824348,0.680389,3.496045,3.885798,2.605409,1.573500,2.530690,0.921495,3.340035,3.375785,3.871006
Acanthurus_japonicus,2.609919,1.955634,6.020248,3.443734,1.778265,4.661738,0.000000,5.471096,2.014910,0.561500,2.473998,3.556051,3.061025,3.591497,2.487736,2.126998,4.213856,0.337946,2.569105,3.342800,0.699619,3.801370,1.542417,3.352829,4.126402,5.608092,2.317569,4.604101,4.296859,5.014009,4.631344,5.282128,4.170365,5.312748,4.403904,5.892900,5.160062,4.185959,1.395895,2.420815,3.618417,4.382322,2.370577,3.765384,1.452744,2.380602,0.872724
Acanthurus_leucocheilus,4.611560,3.677562,0.810941,2.085870,3.824424,1.054677,5.471096,0.000000,5.035299,5.767724,3.264115,2.209283,3.425252,2.380420,3.326892,4.034185,1.805942,5.304877,3.220399,2.166422,5.017671,2.562341,4.297629,2.259460,1.863722,1.118589,4.005225,1.349339,1.376606,1.579992,1.506181,1.070407,3.024398,1.207938,2.483080,1.285917,1.018005,1.461510,4.339594,4.481791,3.197155,2.143368,3.244301,1.804572,4.080197,3.834288,4.708910
Acanthurus_leucosternon,0.715854,1.743924,5.385315,3.362870,1.736337,4.247301,2.014910,5.035299,0.000000,2.527062,3.102416,3.113331,1.745950,3.597332,1.920426,3.133193,3.710910,2.228772,3.046091,2.975264,2.330117,2.896376,2.759980,3.514827,4.290822,4.834486,1.173002,3.909995,4.238668,5.133757,4.705631,4.618238,4.642573,4.466689,3.293793,5.023392,4.528803,3.651067,1.265027,1.200552,2.250493,4.651626,2.014646,3.494936,1.792514,2.401967,2.102148
Acanthurus_lineatus,3.126319,2.395458,6.353786,3.733188,2.222666,4.999480,0.561500,5.767724,2.527062,0.000000,2.639978,3.860990,3.554859,3.904278,2.903180,2.294453,4.493006,0.516285,2.831014,3.689228,0.759350,4.156605,1.601401,3.581876,4.308272,5.958295,2.768543,4.940212,4.529810,5.227560,4.860585,5.634743,4.376678,5.681667,4.784909,6.253712,5.524442,4.548290,1.897706,2.817139,4.087510,4.595079,2.742751,4.100021,1.797349,2.565247,1.211872
