,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_achilles,0.000000,1.683351,1.303863,1.925096,2.323672,3.189352,1.336783,3.198621,1.983362,1.827937,0.988561,1.902553,1.199681,2.211344,2.221736,2.390869,2.238044,1.608255,2.358226,1.553061,1.842737,1.318378,2.067879,2.418812,3.253609,2.519315,0.711283,1.446144,1.969508,3.312016,1.650372,2.812882,0.859116,2.959819,1.959465,2.293447,1.135849,1.378191,2.781573,2.372644,1.009119,1.044676,1.869173,1.028962,2.789672,0.431518,2.462574
Acanthurus_bariene,1.683351,0.000000,2.406502,1.541200,2.222916,2.597153,2.890740,2.131938,3.383600,3.331002,2.000742,2.572192,2.597669,1.461858,1.919682,1.236282,1.364979,1.989747,3.167275,3.096792,3.248383,2.971422,3.490342,1.291332,2.293840,3.391603,1.460051,2.883198,1.777275,2.068896,0.325169,1.147666,2.035759,1.398956,2.682610,3.795461,0.824530,1.446771,1.397035,3.835337,1.876548,2.424458,0.817028,1.947053,1.437280,1.438652,2.981157
Acanthurus_blochii,1.303863,2.406502,0.000000,3.136522,3.584227,4.422948,2.085147,4.298806,2.825546,2.581287,1.431459,3.070601,0.531619,3.350776,3.403660,3.350800,3.377987,2.895268,3.555370,2.290102,2.690567,1.848913,2.883613,3.433033,4.384753,3.502380,1.988551,2.288923,3.243592,4.332683,2.392798,3.466226,1.002752,3.624280,3.177001,2.971790,1.591320,2.420708,3.715044,3.104171,0.847333,1.847467,2.601543,1.220357,3.683774,1.692167,3.728723
Acanthurus_chirurgus,1.925096,1.541200,3.136522,0.000000,0.683863,1.287605,2.460699,1.380275,2.628359,2.732795,2.148157,1.394600,3.122651,0.432737,0.514506,1.028035,0.610030,0.817015,1.957184,2.601356,2.526079,2.751642,2.748648,0.921564,1.375821,2.251897,1.344277,2.305604,0.523664,1.615008,1.426083,2.032749,2.394624,2.031997,1.472450,3.175297,1.943840,0.977811,1.389120,3.133938,2.706287,2.087871,1.397324,2.310286,1.436592,1.560098,1.644849
Acanthurus_dussumieri,2.323672,2.222916,3.584227,0.683863,0.000000,1.021812,2.497570,1.560216,2.468013,2.651685,2.489888,1.121559,3.501411,0.946412,0.533922,1.568736,1.135471,0.794927,1.555010,2.588412,2.395370,2.859769,2.585254,1.449925,1.447536,1.883424,1.741211,2.283858,0.702531,1.895899,2.098205,2.653298,2.778736,2.602769,1.144044,3.047473,2.562794,1.378830,1.894088,2.964289,3.206960,2.225993,2.014631,2.708399,1.931561,1.986282,1.169049
Acanthurus_guttatus,3.189352,2.597153,4.422948,1.287605,1.021812,0.000000,3.507339,0.939632,3.458178,3.644148,3.377025,2.120767,4.388429,1.180635,1.158104,1.642628,1.247745,1.766158,2.388267,3.592321,3.397128,3.846590,3.565741,1.467516,0.741634,2.780328,2.558728,3.303025,1.303213,1.340851,2.512239,2.601476,3.659722,2.519171,2.118266,4.000366,3.169495,2.165182,1.697185,3.912438,3.960304,3.223058,2.410757,3.559582,1.787189,2.809655,1.903849
Acanthurus_japonicus,1.336783,2.890740,2.085147,2.460699,2.497570,3.507339,0.000000,3.839325,0.740887,0.561447,1.534064,1.572250,1.725776,2.860784,2.578754,3.231887,2.966812,1.754464,1.741237,0.265809,0.607921,0.494558,0.814275,3.230748,3.811852,1.758591,1.545664,0.329705,2.395451,4.058029,2.802822,3.949877,1.562129,4.019573,1.548419,1.105838,2.442749,1.986622,3.685647,1.153929,2.121461,0.737237,2.886713,1.747691,3.680798,1.501565,2.103579
Acanthurus_leucocheilus,3.198621,2.131938,4.298806,1.380275,1.560216,0.939632,3.839325,0.000000,3.958499,4.090193,3.351797,2.608985,4.369054,1.008271,1.379542,1.070986,1.004970,2.140787,3.072387,3.974957,3.867521,4.127907,4.076873,0.909593,0.245066,3.348524,2.627494,3.671427,1.589853,0.404129,2.060743,1.797811,3.604937,1.687659,2.686112,4.505623,2.844073,2.139900,0.892164,4.449779,3.810243,3.432722,1.945402,3.465796,1.000183,2.824490,2.628897
Acanthurus_leucosternon,1.983362,3.383600,2.825546,2.628359,2.468013,3.458178,0.740887,3.958499,0.000000,0.368619,2.149335,1.474122,2.450609,3.052855,2.667833,3.522359,3.174763,1.831748,1.320550,0.561447,0.164847,1.088491,0.164853,3.491867,3.888774,1.418131,1.989905,0.629877,2.492186,4.233041,3.287381,4.371769,2.255433,4.415188,1.347614,0.751851,3.056470,2.337295,3.968934,0.659411,2.816017,1.287493,3.333205,2.401326,3.974699,2.040172,1.789469
Acanthurus_lineatus,1.827937,3.331002,2.581287,2.732795,2.651685,3.644148,0.561447,4.090193,0.368619,0.000000,2.086481,1.708126,2.169456,3.155301,2.830939,3.599456,3.248395,1.951017,1.556679,0.303960,0.375926,0.769673,0.329694,3.572665,4.040277,1.752423,1.913333,0.634196,2.585326,4.347703,3.258337,4.369920,2.122616,4.446485,1.576267,0.575799,2.943250,2.404935,4.034820,0.594366,2.575076,1.255453,3.348678,2.307858,4.049897,1.929278,2.005723
