,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_achilles,0.000000,2.156978,3.736699,3.239956,0.978033,3.110341,3.883663,2.590967,1.716279,2.543641,1.439294,1.541741,1.916800,2.175747,3.612364,2.275422,2.579428,3.669176,3.260987,2.659239,1.866398,2.520748,1.814482,3.368245,3.068709,3.142602,2.799428,4.401751,4.530777,2.761558,2.351555,2.368566,3.044289,3.647600,1.115975,3.725055,3.476067,3.376356,1.703644,3.153730,3.681735,2.962994,3.233690,3.615366,3.477512,3.398454,2.307094
Acanthurus_bariene,2.156978,0.000000,2.414042,1.094345,1.451734,2.250856,1.831094,0.548792,1.357361,2.307017,1.569103,0.644133,0.922252,0.860540,1.687880,2.036666,0.705574,2.390277,1.964710,1.888860,0.865248,1.459581,0.715761,2.248050,1.181288,1.775402,2.080058,2.268904,2.428606,1.643386,0.924751,0.348489,1.582751,1.997609,1.306357,2.695897,1.380042,1.452605,1.581548,2.430796,2.235171,1.412048,2.572566,1.666814,2.345495,2.184724,1.860353
Acanthurus_blochii,3.736699,2.414042,0.000000,2.204787,3.116048,1.002771,2.455380,2.644788,2.046035,4.719244,3.852596,2.821924,3.327021,3.265692,1.474466,4.445734,1.902819,0.104262,4.187883,4.273104,2.174339,3.831313,2.916521,4.496740,2.861022,3.965123,1.094079,2.379731,2.149319,1.734161,1.581114,2.347465,1.341850,0.695499,2.638878,0.521287,2.638540,3.168158,3.941787,1.095984,0.265812,1.100219,4.939720,1.577748,0.417047,0.466289,4.269237
Acanthurus_chirurgus,3.239956,1.094345,2.204787,0.000000,2.450632,2.384727,0.850630,0.794979,2.131231,2.951813,2.509740,1.724285,1.772685,1.561196,0.962310,2.744223,0.850997,2.218295,2.093870,2.401767,1.623568,1.969785,1.595922,2.392090,1.118513,1.941971,2.392934,1.182754,1.405391,1.777184,1.381828,0.996764,1.461715,1.574963,2.310160,2.645182,0.734547,0.991205,2.465438,2.605800,1.958021,1.415389,2.958869,0.901056,2.287036,2.101254,2.537206
Acanthurus_dussumieri,0.978033,1.451734,3.116048,2.450632,0.000000,2.479786,2.997886,1.844658,1.148068,2.397879,1.173426,0.912396,1.432336,1.619625,2.776522,2.101132,1.742623,3.049040,2.779024,2.355603,1.020615,2.107635,1.001385,2.860944,2.546781,2.704019,2.326742,3.586279,3.755112,1.884789,1.714870,1.748196,2.196439,2.915044,0.683880,3.185060,2.822822,2.593220,1.501734,2.576532,3.015873,2.361699,2.973250,2.768674,2.861426,2.741118,2.080068
Acanthurus_guttatus,3.110341,2.250856,1.002771,2.384727,2.479786,0.000000,2.655248,2.581274,1.427997,4.460431,3.424563,2.471741,3.090666,3.086802,1.770839,4.167377,1.752566,0.899932,4.161121,4.120870,1.672715,3.702100,2.536705,4.387150,3.074335,3.990335,0.680633,2.878897,2.790717,1.135583,1.435098,2.324135,1.071512,1.259758,2.074999,0.887795,2.954322,3.209838,3.606912,0.233128,1.047808,1.378647,4.797308,1.848914,0.594396,0.575800,4.034177
Acanthurus_japonicus,3.883663,1.831094,2.455380,0.850630,2.997886,2.655248,0.000000,1.465563,2.704102,3.465610,3.088424,2.406240,2.431460,2.199826,0.981513,3.287577,1.403386,2.474115,2.483794,2.932939,2.158207,2.540984,2.145792,2.659719,1.866947,2.449487,2.858541,0.828399,1.225404,1.939300,2.043282,1.815742,1.628551,1.762049,2.955696,2.926939,1.343683,1.151501,3.079548,2.887629,2.189778,1.998637,3.378940,0.879282,2.555144,2.358244,3.100404
Acanthurus_leucocheilus,2.590967,0.548792,2.644788,0.794979,1.844658,2.581274,1.465563,0.000000,1.859676,2.208481,1.722348,1.052947,0.988573,0.781041,1.613434,1.979562,0.843870,2.634485,1.585837,1.708271,1.282738,1.267920,0.900412,1.863600,0.976881,1.444240,2.498139,1.951864,2.193169,1.846272,1.342301,0.607972,1.733954,2.113650,1.823014,2.997346,1.047826,0.906166,1.673880,2.783875,2.429490,1.688448,2.325071,1.562083,2.628264,2.448399,1.783751
Acanthurus_leucosternon,1.716279,1.357361,2.046035,2.131231,1.148068,1.427997,2.704102,1.859676,0.000000,3.231110,2.111523,1.243801,1.937857,2.033885,2.129254,2.926934,1.321851,1.973003,3.251270,2.999979,0.676340,2.635802,1.455458,3.463375,2.424240,3.077193,1.179676,3.117462,3.159054,1.279941,0.903044,1.532767,1.458560,1.998964,0.647030,2.059283,2.577446,2.700019,2.316589,1.509413,1.993545,1.447826,3.692754,2.162177,1.772746,1.684701,2.826122
Acanthurus_lineatus,2.543641,2.307017,4.719244,2.951813,2.397879,4.460431,3.465610,2.208481,3.231110,0.000000,1.230611,2.014015,1.396880,1.468925,3.817686,0.305441,2.917290,4.694988,1.329338,0.637038,2.810031,1.012606,1.962977,1.283164,2.387983,1.423190,4.254451,3.972586,4.263002,3.678589,3.180256,2.410083,3.776315,4.278890,2.733294,4.978174,2.824136,2.379728,0.938432,4.618472,4.540208,3.680445,0.744697,3.761748,4.635550,4.478102,0.456693
