,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_maculatus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_achilles,0.000000,1.853829,4.449682,3.001222,1.712347,3.797678,2.787705,4.611614,0.794097,3.072883,3.176858,2.678107,1.148948,3.537082,1.553198,3.350954,3.427218,2.531238,3.096940,4.446636,2.788914,2.775519,2.276518,2.934832,3.113470,4.285217,3.993389,1.257703,3.283356,4.048429,4.904395,4.308521,4.149445,4.433631,3.520913,2.881090,3.692362,3.881962,4.185824,4.214640,3.325753,1.795520,1.164839,1.577844,4.483668,1.937630,3.332964,2.003985,2.490591,2.636251
Acanthurus_bariene,1.853829,0.000000,4.059558,1.853413,0.368522,2.913282,1.699920,3.943745,1.696940,1.985462,1.404349,1.842529,1.784358,2.377637,0.843890,1.540635,2.858069,1.393859,1.344800,3.251601,1.816779,1.388512,2.206860,1.214179,1.644089,2.966333,3.724839,1.222963,2.817347,3.234396,3.650510,3.069770,3.641899,3.078618,3.406799,3.172042,3.589228,3.875602,3.715345,3.480553,2.672623,0.572574,2.023817,2.167818,3.119209,0.791350,2.792127,0.546952,1.657108,1.049443
Acanthurus_blochii,4.449682,4.059558,0.000000,2.394288,3.922382,1.653829,5.682064,1.129082,5.014333,5.905570,3.719894,2.552427,3.370127,2.778103,3.466653,4.477172,1.863485,5.377403,3.776835,2.791123,2.325099,5.210265,2.532028,4.632345,2.932399,2.400813,0.676449,3.730988,1.504084,1.521583,2.442840,2.130442,0.728882,3.269848,1.137184,2.288547,2.040171,1.249263,0.946441,1.484289,1.668279,4.585181,4.135826,2.926082,2.903246,3.514711,1.573478,4.345259,3.908706,4.899399
Acanthurus_chirurgus,3.001222,1.853413,2.394288,0.000000,1.785533,1.161510,3.396915,2.157963,3.261873,3.616222,1.394939,0.935940,2.155975,1.183742,1.606121,2.132481,1.501685,3.105615,1.444468,1.907258,0.309901,2.912262,1.654838,2.284959,0.616949,1.345878,2.188023,2.070173,1.358739,1.471690,1.989733,1.330337,1.948716,1.976604,2.043703,2.400342,2.380734,2.527977,2.072781,1.748041,1.104988,2.384828,2.844091,2.120606,1.725754,1.409213,1.289487,2.135152,2.125260,2.574987
Acanthurus_dussumieri,1.712347,0.368522,3.922382,1.785533,0.000000,2.762555,1.976171,3.806025,1.647358,2.280939,1.576214,1.844094,1.524967,2.210428,0.782935,1.670852,2.818408,1.678976,1.400897,3.103236,1.708573,1.719798,2.120014,1.528127,1.681767,2.994123,3.597653,1.235510,2.711440,3.135526,3.571852,3.023987,3.472737,2.957411,3.247343,3.045538,3.371377,3.718796,3.521122,3.328374,2.481043,0.744966,2.030417,1.959305,3.031908,0.818849,2.585302,0.883787,1.886746,1.341384
Acanthurus_guttatus,3.797678,2.913282,1.653829,1.161510,2.762555,0.000000,4.496521,1.221365,4.177452,4.729406,2.416197,1.824580,2.750816,1.148448,2.589991,3.006557,1.722579,4.211063,2.328688,1.341192,1.186056,4.033169,2.235577,3.382290,1.658591,1.458032,1.717817,3.044622,1.353784,0.938431,1.321060,0.980676,1.023891,1.712485,1.706390,2.572399,1.933786,2.124230,1.076988,0.839472,0.577792,3.430768,3.723298,2.602418,1.390658,2.475079,0.711838,3.257075,3.209045,3.650251
Acanthurus_japonicus,2.787705,1.699920,5.682064,3.396915,1.976171,4.496521,0.000000,5.523445,2.154876,0.346578,2.352650,3.309059,3.273940,3.823789,2.402995,2.027033,4.327034,0.332490,2.399205,4.609981,3.427873,0.600428,3.709384,1.362950,2.990469,4.219469,5.338107,2.470030,4.406172,4.762043,4.986108,4.444612,5.288940,4.295003,5.048494,4.675038,5.200014,5.496917,5.376360,5.057703,4.329121,1.309980,2.945326,3.698933,4.386037,2.300619,4.465621,1.391753,2.430368,0.901322
Acanthurus_leucocheilus,4.611614,3.943745,1.129082,2.157963,3.806025,1.221365,5.523445,0.000000,5.090265,5.734793,3.418874,2.453108,3.529337,2.173703,3.544186,4.109325,1.781863,5.223256,3.447232,2.229082,2.135595,5.030031,2.658435,4.352833,2.619394,1.940213,1.313075,3.827213,1.516577,0.834802,1.760154,1.657999,0.830764,2.654118,1.541818,2.580830,1.696392,1.661046,0.968706,0.585091,1.424944,4.438890,4.364077,3.235407,2.182256,3.361534,1.428309,4.216980,3.862722,4.716280
Acanthurus_leucosternon,0.794097,1.696940,5.014333,3.261873,1.647358,4.177452,2.154876,5.090265,0.000000,2.436252,3.092393,2.997447,1.777569,3.746831,1.744002,3.089325,3.875478,1.947701,3.002635,4.659015,3.104999,2.275225,2.806424,2.611943,3.231833,4.502808,4.580767,1.523612,3.786442,4.461434,5.153097,4.567511,4.670651,4.552620,4.137713,3.536949,4.268131,4.528748,4.711167,4.653506,3.767266,1.424001,1.570249,2.266868,4.648923,2.035766,3.809097,1.745210,2.524234,2.193654
Acanthurus_lineatus,3.072883,1.985462,5.905570,3.616222,2.280939,4.729406,0.346578,5.734793,2.436252,0.000000,2.507012,3.498937,3.574851,4.062778,2.676310,2.201111,4.503897,0.612228,2.609440,4.839454,3.661092,0.713841,3.927063,1.473242,3.176770,4.360692,5.556418,2.706621,4.618629,4.958379,5.171210,4.626399,5.527962,4.510717,5.283346,4.893443,5.445633,5.724292,5.627058,5.277252,4.581546,1.614018,3.150877,3.979203,4.579158,2.536101,4.724987,1.625828,2.528196,1.139234
