,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_maculatus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_achilles,0.000000,1.785929,3.675191,3.248163,1.190932,3.271461,3.871127,2.295777,2.110238,2.479235,1.654845,1.434430,2.047999,1.935603,2.632705,2.152970,2.802105,3.709659,3.173768,3.057898,2.222955,1.875266,2.595746,1.433964,3.392869,3.208748,3.260253,2.770555,4.441320,4.542358,1.993222,2.067593,2.550770,3.236938,3.593257,1.717439,2.675775,3.747014,3.598500,3.064166,3.257548,1.814996,3.221910,3.721926,3.244673,3.254299,3.915541,3.472970,2.418811,2.176118
Acanthurus_bariene,1.785929,0.000000,2.786096,1.617531,1.112085,2.555946,2.222280,0.509998,1.584880,2.010638,1.157299,0.444106,0.656151,0.219134,1.401644,1.696182,1.345227,2.885166,1.721914,1.793553,1.410137,1.047454,1.289300,0.499716,2.188586,1.526237,2.008574,2.235399,2.738263,2.867623,1.124021,0.653030,0.892561,1.922499,2.539002,1.006120,1.891238,3.018563,1.853193,1.557964,1.491415,1.278973,2.667185,2.606207,1.952291,2.410175,2.302940,2.627297,1.340338,1.542675
Acanthurus_blochii,3.675191,2.786096,0.000000,1.918258,2.925602,0.619825,2.169325,2.699794,1.565521,4.789692,3.887928,2.715304,3.337488,2.912498,1.401635,4.482033,1.810092,0.154952,4.031424,4.275132,4.167302,1.958430,3.857000,3.014603,4.619646,2.704927,4.461060,0.999922,2.460739,2.360133,2.021698,2.134995,2.167041,1.455669,0.404066,2.050093,4.596797,0.373172,2.687660,3.848385,2.939681,4.062062,0.834455,0.489996,1.098911,5.068058,1.930372,0.285727,1.547741,4.321411
Acanthurus_chirurgus,3.248163,1.617531,1.918258,0.000000,2.286636,1.938160,0.672844,1.235926,1.813023,3.320785,2.621641,1.868701,1.945686,1.599624,0.976206,3.080865,0.596115,2.066486,2.256681,2.562421,2.712576,1.547297,2.245628,1.980560,2.815789,1.205518,2.709306,2.032722,1.214728,1.333464,1.503048,1.207493,0.811878,0.821467,1.534388,1.691215,3.062739,2.272342,1.048413,2.080135,1.037196,2.746802,2.183956,1.515502,0.985613,3.389742,0.686977,1.842919,1.156153,2.893438
Acanthurus_dussumieri,1.190932,1.112085,2.925602,2.286636,0.000000,2.485389,2.843973,1.540616,1.474386,2.456795,1.369303,0.919097,1.616367,1.256050,1.820088,2.106252,1.771942,2.992147,2.658411,2.669316,2.051598,1.008308,2.191202,0.705129,2.868493,2.582033,2.862669,2.214394,3.489242,3.619627,0.962270,1.282562,1.753676,2.183759,2.760920,1.012672,2.576982,3.073691,2.849237,2.510512,2.367407,1.704360,2.485383,2.895073,2.459739,3.053405,2.920624,2.692229,1.477307,2.066340
Acanthurus_guttatus,3.271461,2.555946,0.619825,1.938160,2.485389,0.000000,2.256114,2.553513,1.204975,4.555344,3.579214,2.447397,3.166163,2.700293,1.302154,4.230678,1.643193,0.638906,3.954431,4.170488,3.964125,1.602374,3.725243,2.691407,4.463123,2.809413,4.360879,0.784645,2.706091,2.665869,1.620900,1.936842,2.094909,1.317090,0.713453,1.724372,4.430810,0.696448,2.833758,3.767655,2.900187,3.803164,0.285715,0.903520,1.291736,4.902350,2.083492,0.346490,1.245092,4.093110
Acanthurus_japonicus,3.871127,2.222280,2.169325,0.672844,2.843973,2.256114,0.000000,1.804174,2.396842,3.750558,3.120476,2.509380,2.482688,2.172016,1.581871,3.543828,1.122256,2.324277,2.537110,2.885622,3.178913,2.154522,2.660412,2.555946,3.017508,1.615761,2.990433,2.525469,0.736645,0.929738,2.054622,1.866117,1.463320,1.053778,1.766721,2.326537,3.481625,2.541398,1.255549,2.380525,1.231039,3.253297,2.518601,1.711505,1.419279,3.703825,0.309913,2.125712,1.712648,3.358450
Acanthurus_leucocheilus,2.295777,0.509998,2.699794,1.235926,1.540616,2.553513,1.804174,0.000000,1.768272,2.148152,1.456632,0.912650,0.721755,0.405047,1.309150,1.883732,1.126133,2.817299,1.450545,1.622348,1.520884,1.258171,1.174395,0.955611,2.014423,1.097929,1.822061,2.322440,2.276120,2.418319,1.294370,0.704524,0.576854,1.717236,2.402377,1.276560,1.927817,2.978048,1.369319,1.268373,1.004600,1.527875,2.713070,2.438099,1.747753,2.369924,1.902640,2.569461,1.348401,1.696424
Acanthurus_leucosternon,2.110238,1.584880,1.565521,1.813023,1.474386,1.204975,2.396842,1.768272,0.000000,3.533696,2.553253,1.347077,2.211993,1.777671,0.883667,3.194201,1.374663,1.604906,3.213408,3.344549,2.963542,0.616976,2.849739,1.664700,3.717455,2.308107,3.557953,0.744895,2.926368,2.946815,0.836224,1.066509,1.473927,1.526264,1.510876,0.603604,3.449782,1.662232,2.527473,3.033905,2.481406,2.751980,1.220808,1.653528,1.375346,3.994411,2.311170,1.367396,0.735672,3.072432
Acanthurus_lineatus,2.479235,2.010638,4.789692,3.320785,2.456795,4.555344,3.750558,2.148152,3.533696,0.000000,1.094058,2.197545,1.485741,1.879799,3.392365,0.355811,3.190978,4.892360,1.557430,1.218474,0.652363,2.994311,1.194062,1.922717,1.393839,2.785938,1.286052,4.214848,4.148760,4.334998,3.009789,2.657512,2.713452,3.773682,4.522569,2.930761,0.558702,5.027899,3.094561,1.605227,2.575305,0.792542,4.652857,4.573259,3.878059,0.841000,3.925729,4.634263,3.323778,0.472415
