,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_achilles,0.000000,1.660292,1.345657,1.929322,2.321327,3.145575,1.382307,3.141430,1.996439,1.846832,1.005390,1.923572,1.198261,2.197141,2.221315,2.356382,2.214995,1.635224,2.330847,1.147096,1.586121,1.863000,1.354921,2.076241,2.381318,3.252191,2.531982,0.723786,1.486865,1.969073,3.292601,1.637168,2.778627,0.889256,2.922795,1.973041,2.286010,1.090643,2.685397,1.390324,2.727565,2.363434,0.967981,1.100355,1.856011,1.042018,2.738199,0.415728,2.427101
Acanthurus_bariene,1.660292,0.000000,2.424227,1.546070,2.200292,2.552546,2.901172,2.091715,3.369240,3.322176,2.009145,2.533076,2.600379,1.463319,1.904292,1.185897,1.371604,1.977458,3.118622,2.182122,3.098683,3.239871,2.980255,3.472293,1.238990,2.295236,3.358074,1.491677,2.890802,1.775177,2.040382,0.312766,1.127687,2.053461,1.359293,2.641055,3.767227,0.833898,2.374206,1.391109,1.341818,3.804201,1.861884,2.448814,0.785056,1.962567,1.379376,1.423321,2.935615
Acanthurus_blochii,1.345657,2.424227,0.000000,3.176642,3.611893,4.413529,2.140095,4.279944,2.850441,2.617251,1.414260,3.116254,0.570095,3.375049,3.431228,3.337078,3.400883,2.953512,3.563924,1.850720,2.337734,2.720297,1.914420,2.906889,3.418680,4.412995,3.517146,2.054627,2.332388,3.284922,4.332685,2.411622,3.436616,1.005018,3.585751,3.221567,2.990821,1.592352,2.900148,2.443083,3.687031,3.118494,0.902821,1.897386,2.608773,1.202129,3.654123,1.720904,3.730043
Acanthurus_chirurgus,1.929322,1.546070,3.176642,0.000000,0.655984,1.237481,2.467986,1.327780,2.620292,2.724156,2.184203,1.342418,3.121886,0.415723,0.494048,1.043001,0.587658,0.785045,1.914316,1.976291,2.601154,2.524066,2.747019,2.735137,0.936938,1.376663,2.227260,1.352956,2.317513,0.502823,1.625268,1.437448,2.080282,2.425039,2.074044,1.415164,3.144234,1.957070,2.679698,0.976042,1.384323,3.102603,2.690411,2.109691,1.408131,2.342169,1.430615,1.582616,1.607812
Acanthurus_dussumieri,2.321327,2.200292,3.611893,0.655984,0.000000,0.983828,2.503130,1.500476,2.473992,2.650612,2.515040,1.080893,3.485814,0.908301,0.512356,1.571632,1.090889,0.763458,1.544021,2.188699,2.590504,2.405330,2.847952,2.585669,1.456463,1.436314,1.882910,1.725241,2.299036,0.674562,1.902773,2.082145,2.680325,2.793834,2.629892,1.100372,3.026703,2.550580,3.037337,1.382307,1.879603,2.946331,3.173412,2.237295,2.002501,2.724049,1.916073,2.001019,1.171704
Acanthurus_guttatus,3.145575,2.552546,4.413529,1.237481,0.983828,0.000000,3.475499,0.901567,3.428420,3.606827,3.370277,2.043106,4.339861,1.133737,1.115425,1.643272,1.197021,1.698617,2.346401,3.097374,3.557269,3.370316,3.799252,3.531165,1.475748,0.742472,2.747474,2.511146,3.280087,1.251182,1.372963,2.471876,2.635576,3.642648,2.557160,2.038662,3.946446,3.132365,3.516895,2.122743,1.698529,3.861911,3.892475,3.199822,2.376020,3.545953,1.784396,2.783110,1.881906
Acanthurus_japonicus,1.382307,2.901172,2.140095,2.467986,2.503130,3.475499,0.000000,3.794439,0.710634,0.538521,1.529730,1.603419,1.721927,2.851462,2.579380,3.227376,2.953964,1.789737,1.720904,1.259008,0.254955,0.583097,0.474361,0.781025,3.226026,3.817638,1.746489,1.549665,0.316241,2.406373,4.065955,2.817061,3.961086,1.565256,4.024607,1.580641,1.060680,2.440396,3.324259,2.026958,3.665251,1.106808,2.129577,0.707130,2.895787,1.739270,3.659572,1.543206,2.076815
Acanthurus_leucocheilus,3.141430,2.091715,4.279944,1.327780,1.500476,0.901567,3.794439,0.000000,3.904194,4.032106,3.340269,2.511608,4.316607,0.970232,1.329071,1.075324,0.965062,2.058696,2.996686,3.189413,3.923371,3.818075,4.070996,4.017189,0.916546,0.265170,3.285913,2.582769,3.632854,1.526917,0.479914,2.023753,1.858520,3.585741,1.755711,2.583488,4.427543,2.815745,3.177594,2.072265,0.920775,4.372991,3.741324,3.405511,1.914809,3.452886,1.023485,2.782129,2.569193
Acanthurus_leucosternon,1.996439,3.369240,2.850441,2.620292,2.473992,3.428420,0.710634,3.904194,0.000000,0.353565,2.127219,1.511930,2.418686,3.027509,2.659544,3.508693,3.144976,1.856917,1.332855,1.746450,0.538521,0.158115,1.044043,0.158120,3.480260,3.885785,1.430106,1.961238,0.604156,2.493113,4.236384,3.277318,4.371519,2.232715,4.411058,1.397645,0.721146,3.026636,3.753087,2.365066,3.939420,0.632481,2.791076,1.234919,3.321228,2.370665,3.943657,2.058271,1.785538
Acanthurus_lineatus,1.846832,3.322176,2.617251,2.724156,2.650612,3.606827,0.538521,4.032106,0.353565,0.000000,2.061581,1.735228,2.150584,3.129045,2.817498,3.581348,3.219624,1.975655,1.549692,1.750756,0.291548,0.360573,0.738244,0.316231,3.556310,4.035404,1.749370,1.889837,0.608297,2.586637,4.347656,3.252060,4.367527,2.102392,4.437632,1.615078,0.552285,2.916431,3.805367,2.428710,4.001770,0.570095,2.562243,1.204185,3.337015,2.277081,4.014670,1.949744,1.985750
