,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_achilles,0.000000,2.170467,3.731159,3.208318,1.005582,3.123457,3.816009,2.568253,1.790015,2.453357,1.380485,1.569480,1.853261,2.102130,3.583426,2.193074,2.585914,3.666263,3.202018,3.370379,2.550633,1.907325,2.425024,1.792906,3.369951,3.024037,3.096091,2.837150,4.326785,4.461096,2.760764,2.393973,2.378504,3.041708,3.635418,1.213309,3.723118,3.428739,2.984612,3.300047,1.634070,3.166390,3.675109,2.984765,3.179872,3.583420,3.481569,3.403118,2.212836
Acanthurus_bariene,2.170467,0.000000,2.313512,1.048695,1.438324,2.156857,1.753761,0.526288,1.301818,2.400417,1.660184,0.617419,0.981827,0.912572,1.616173,2.145232,0.675269,2.290699,1.999418,1.810478,1.937067,0.829462,1.480210,0.755867,2.366635,1.145793,1.815479,1.994427,2.174184,2.327496,1.573424,0.886701,0.334173,1.515154,1.913681,1.252892,2.584061,1.323649,2.196569,1.392911,1.667763,2.329604,2.141791,1.353861,2.670080,1.595932,2.247711,2.093358,1.924439
Acanthurus_blochii,3.731159,2.313512,0.000000,2.114160,3.047356,0.961817,2.355110,2.535359,1.960949,4.710764,3.846187,2.704135,3.283265,3.221765,1.414253,4.450552,1.824425,0.100004,4.137093,3.770858,4.232223,2.084447,3.761339,2.855092,4.521647,2.764757,3.923324,1.048542,2.282556,2.061554,1.663332,1.514815,2.249274,1.287045,0.667098,2.528615,0.500001,2.529371,4.430366,3.038136,3.926708,1.051226,0.254957,1.053728,4.944358,1.513317,0.400015,0.447244,4.234375
Acanthurus_chirurgus,3.208318,1.048695,2.114160,0.000000,2.389947,2.286804,0.814366,0.761712,2.044020,3.029418,2.547956,1.652499,1.794418,1.594422,0.921663,2.830340,0.816247,2.127122,2.127658,1.710934,2.445642,1.557172,1.986659,1.581516,2.494743,1.105522,1.977807,2.295208,1.133356,1.347071,1.703883,1.325212,0.954624,1.401139,1.509821,2.214947,2.536671,0.703685,2.553503,0.950643,2.505415,2.498896,1.877398,1.357569,3.048182,0.862818,2.193075,2.014830,2.577925
Acanthurus_dussumieri,1.005582,1.438324,3.047356,2.389947,0.000000,2.429166,2.902898,1.801400,1.164783,2.398070,1.190889,0.916939,1.397829,1.568301,2.706623,2.112491,1.716246,2.982670,2.748935,2.813097,2.294702,1.030405,2.045285,0.960413,2.903719,2.487733,2.679219,2.293771,3.477921,3.646398,1.840304,1.708591,1.726750,2.148691,2.849757,0.724747,3.113910,2.748698,2.730671,2.503956,1.495243,2.522080,2.949791,2.328922,2.988143,2.697364,2.801101,2.684412,2.042289
Acanthurus_guttatus,3.123457,2.156857,0.961817,2.286804,2.429166,0.000000,2.546823,2.474413,1.367495,4.448100,3.421625,2.367900,3.045384,3.037157,1.698529,4.169142,1.680258,0.863178,4.108530,3.837181,4.064004,1.602989,3.625214,2.477109,4.414707,2.967946,3.942974,0.651459,2.761341,2.676761,1.089206,1.374593,2.226880,1.027756,1.208316,1.987091,0.851534,2.832415,4.351161,3.078131,3.587958,0.223609,1.005018,1.321105,4.799061,1.773416,0.570121,0.552285,3.989275
Acanthurus_japonicus,3.816009,1.753761,2.355110,0.814366,2.902898,2.546823,0.000000,1.403154,2.592529,3.515883,3.086002,2.304999,2.416689,2.196669,0.941431,3.343294,1.345155,2.373081,2.488173,2.048175,2.938887,2.068981,2.527483,2.089755,2.724063,1.822071,2.446035,2.741486,0.794566,1.175355,1.860111,1.958509,1.738589,1.562051,1.690092,2.832777,2.807414,1.286017,3.020522,1.102713,3.075606,2.769715,2.100353,1.916162,3.441197,0.843376,2.450803,2.261944,3.100841
Acanthurus_leucocheilus,2.568253,0.526288,2.535359,0.761712,1.801400,2.474413,1.403154,0.000000,1.783723,2.315615,1.791575,1.009429,1.041804,0.847174,1.545217,2.097770,0.808656,2.525472,1.641574,1.379007,1.773041,1.230235,1.309416,0.911477,1.999145,0.957446,1.499840,2.395749,1.870231,2.101889,1.768847,1.287425,0.582882,1.660982,2.025555,1.748358,2.873688,1.005034,1.966678,0.868873,1.745609,2.668846,2.328728,1.619259,2.440015,1.495887,2.519505,2.346880,1.853547
Acanthurus_leucosternon,1.790015,1.301818,1.960949,2.044020,1.164783,1.367495,2.592529,1.783723,0.000000,3.251025,2.157986,1.192342,1.919852,2.001771,2.040840,2.960849,1.267578,1.890843,3.225027,3.099631,2.968671,0.648645,2.582962,1.436520,3.523005,2.335100,3.055589,1.130957,2.989160,3.029064,1.225235,0.866152,1.469967,1.396859,1.915769,0.619622,1.973665,2.472187,3.317866,2.589723,2.341141,1.445704,1.910564,1.388554,3.723602,2.072441,1.698587,1.614047,2.816118
Acanthurus_lineatus,2.453357,2.400417,4.710764,3.029418,2.398070,4.448100,3.515883,2.315615,3.251025,0.000000,1.216448,2.097097,1.430504,1.505265,3.856234,0.292798,2.986800,4.686280,1.397176,1.880205,0.647754,2.861458,1.069974,2.021252,1.378676,2.463876,1.483216,4.246460,4.005085,4.284984,3.698821,3.229357,2.501917,3.804145,4.294875,2.756672,4.951905,2.903883,0.925580,2.472424,0.930901,4.596265,4.541603,3.715400,0.784336,3.802695,4.625043,4.475588,0.477420
