species,filename,source_url,license_url,rights_holder,occurrence_key,width,height,border_edge_density
Zebrasoma flavescens,001_gbif_6129824204.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/608815891/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,aloe44,6129824204,1536,2048,0.0209
Zebrasoma flavescens,001_gbif_6129857085.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/607102539/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,David R,6129857085,2048,1638,0.0061
Zebrasoma flavescens,003_gbif_6130011033.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/607761588/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,ohwonderpeople,6130011033,1536,2048,0.2603
Zebrasoma flavescens,003_gbif_6130080893.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/607243695/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,eehinger,6130080893,1536,2048,0.014
Zebrasoma flavescens,005_gbif_6130132621.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/609856323/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,isaiah_ofa_24,6130132621,2048,1152,0.1272
Zebrasoma flavescens,002_gbif_6130509762.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/607086765/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,P. Johnson,6130509762,2048,1152,0.0765
Zebrasoma flavescens,004_gbif_6130517648.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/608809721/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,JimsWildLife,6130517648,2048,1536,0.015
Zebrasoma flavescens,005_gbif_6130596996.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/609724473/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Andrew Plant,6130596996,2048,1536,0.0057
Acanthurus achilles,001_gbif_6130106448.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/609729076/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Andrew Plant,6130106448,1373,1077,0.0162
Acanthurus achilles,002_gbif_6130778465.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/606504272/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,mayer212,6130778465,2048,1536,0.0577
Acanthurus achilles,003_gbif_6130817819.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/610553145/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,rokkenolan,6130817819,2048,1536,0.0459
Acanthurus achilles,004_gbif_6131113405.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/607398357/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,David R,6131113405,2048,1639,0.0098
Acanthurus achilles,002_gbif_6159188379.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/615877646/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,orionsmcc,6159188379,2048,1536,0.043
Acanthurus achilles,003_gbif_6178667583.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621966077/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Ryan Shaw,6178667583,2000,1333,0.2427
Acanthurus achilles,007_gbif_6179279478.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/624130627/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Blaine T. Spellman,6179279478,2048,1536,0.0607
